THPREDICTIONS BCDMSD  Deuteron
0    0.362736            0.00422831          
1    0.366119            0.00415622          
2    0.34553             0.00373352          
3    0.346862            0.0037088           
4    0.347952            0.00369543          
5    0.324592            0.00392229          
6    0.324516            0.00386267          
7    0.324394            0.00380513          
8    0.324233            0.00375259          
9    0.324052            0.00371121          
10   0.300425            0.00374259          
11   0.29956             0.00365964          
12   0.298676            0.00358314          
13   0.297784            0.00351496          
14   0.296983            0.00346184          
15   0.296083            0.00341068          
16   0.294784            0.00335703          
17   0.271307            0.00329382          
18   0.269823            0.0032115           
19   0.268428            0.00312816          
20   0.267022            0.00304941          
21   0.265791            0.00298551          
22   0.264436            0.00292169          
23   0.262596            0.00285584          
24   0.261194            0.00280732          
25   0.259639            0.00276466          
26   0.236806            0.00291454          
27   0.2349              0.00283005          
28   0.232952            0.00274925          
29   0.231335            0.00268431          
30   0.229554            0.00261923          
31   0.227181            0.00255095          
32   0.225395            0.00250234          
33   0.223442            0.00246015          
34   0.221594            0.00243078          
35   0.219847            0.00241181          
36   0.186168            0.00229888          
37   0.183881            0.00222997          
38   0.181624            0.00216844          
39   0.179661            0.00211969          
40   0.177469            0.00207073          
41   0.174624            0.00201727          
42   0.172517            0.00197808          
43   0.170234            0.00194071          
44   0.168099            0.00191067          
45   0.166101            0.0018868           
46   0.164087            0.00186659          
47   0.162109            0.00185013          
48   0.123224            0.00160148          
49   0.12085             0.00155221          
50   0.118539            0.00150851          
51   0.116554            0.00147386          
52   0.11442             0.0014392           
53   0.111605            0.00139887          
54   0.109565            0.00136949          
55   0.107343            0.00133919          
56   0.105318            0.00131288          
57   0.103446            0.00128959          
58   0.10158             0.00126727          
59   0.0997692           0.00124634          
60   0.0980391           0.00122693          
61   0.0964032           0.00120901          
62   0.0702082           0.000967066         
63   0.0683783           0.000947794         
64   0.0668261           0.000934541         
65   0.0651777           0.000923048         
66   0.0630274           0.000909964         
67   0.061498            0.000903154         
68   0.0598771           0.000896943         
69   0.0583739           0.000891424         
70   0.0570171           0.000886962         
71   0.0556762           0.000882538         
72   0.054386            0.000878148         
73   0.0531641           0.000873741         
74   0.0520183           0.000869287         
75   0.050903            0.000864586         
76   0.0342886           0.000554458         
77   0.0332773           0.000546204         
78   0.0322155           0.000549382         
79   0.0308465           0.000561775         
80   0.0298902           0.000578048         
81   0.028888            0.000597186         
82   0.0279817           0.000614782         
83   0.0271602           0.000630052         
84   0.0263466           0.000643372         
85   0.0255824           0.000655064         
86   0.0248636           0.000664455         
87   0.0241951           0.000671743         
88   0.0235497           0.000677378         
89   0.0229154           0.000681521         
90   0.0116516           0.0003551           
91   0.0112115           0.000371097         
92   0.0108155           0.00038404          
93   0.0104309           0.000394914         
94   0.0100665           0.000403455         
95   0.00972385          0.00040957          
96   0.00940985          0.000413936         
97   0.00910851          0.000416771         
98   0.00881417          0.000418251         
99   0.376124            0.00401637          
100  0.378146            0.00400604          
101  0.350835            0.00369774          
102  0.351688            0.00371054          
103  0.352318            0.00372837          
104  0.323811            0.00367123          
105  0.323246            0.00363201          
106  0.322911            0.00360325          
107  0.322497            0.00357939          
108  0.296083            0.00341068          
109  0.294784            0.00335703          
110  0.293812            0.00331991          
111  0.292718            0.00328751          
112  0.291658            0.00326433          
113  0.290632            0.00324849          
114  0.261194            0.00280732          
115  0.259639            0.00276466          
116  0.258148            0.00273402          
117  0.256725            0.00271293          
118  0.255272            0.00269868          
119  0.253808            0.00269095          
120  0.225395            0.00250234          
121  0.223442            0.00246015          
122  0.221594            0.00243078          
123  0.219847            0.00241181          
124  0.218069            0.00240039          
125  0.216302            0.00239587          
126  0.214576            0.00239693          
127  0.212907            0.00240192          
128  0.170234            0.00194071          
129  0.168099            0.00191067          
130  0.166101            0.0018868           
131  0.164087            0.00186659          
132  0.162109            0.00185013          
133  0.160198            0.00183694          
134  0.158368            0.00182633          
135  0.156552            0.00181734          
136  0.154718            0.00180946          
137  0.107343            0.00133919          
138  0.105318            0.00131288          
139  0.103446            0.00128959          
140  0.10158             0.00126727          
141  0.0997692           0.00124634          
142  0.0980391           0.00122693          
143  0.0964032           0.00120901          
144  0.0947983           0.00119176          
145  0.0931964           0.00117481          
146  0.0914971           0.00115704          
147  0.0598771           0.000896943         
148  0.0583739           0.000891424         
149  0.0570171           0.000886962         
150  0.0556762           0.000882538         
151  0.054386            0.000878148         
152  0.0531641           0.000873741         
153  0.0520183           0.000869287         
154  0.050903            0.000864586         
155  0.0497986           0.000859515         
156  0.0486364           0.00085369          
157  0.0473782           0.000846775         
158  0.028888            0.000597186         
159  0.0279817           0.000614782         
160  0.0271602           0.000630052         
161  0.0263466           0.000643372         
162  0.0255824           0.000655064         
163  0.0248636           0.000664455         
164  0.0241951           0.000671743         
165  0.0235497           0.000677378         
166  0.0229154           0.000681521         
167  0.0222534           0.000684335         
168  0.0215428           0.000685609         
169  0.0108155           0.00038404          
170  0.0104309           0.000394914         
171  0.0100665           0.000403455         
172  0.00972385          0.00040957          
173  0.00940985          0.000413936         
174  0.00910851          0.000416771         
175  0.00881417          0.000418251         
176  0.0085088           0.000418437         
177  0.00818325          0.000417133         
178  0.353859            0.00378366          
179  0.35454             0.00381782          
180  0.322062            0.00356386          
181  0.321613            0.00355488          
182  0.321103            0.00355065          
183  0.320588            0.00355126          
184  0.291658            0.00326433          
185  0.290632            0.00324849          
186  0.28956             0.00323774          
187  0.288473            0.00323172          
188  0.287394            0.00322974          
189  0.258148            0.00273402          
190  0.256725            0.00271293          
191  0.255272            0.00269868          
192  0.253808            0.00269095          
193  0.252365            0.00268862          
194  0.250958            0.00269043          
195  0.24954             0.00269578          
196  0.221594            0.00243078          
197  0.219847            0.00241181          
198  0.218069            0.00240039          
199  0.216302            0.00239587          
200  0.214576            0.00239693          
201  0.212907            0.00240192          
202  0.211233            0.00240994          
203  0.209528            0.0024205           
204  0.20768             0.00243401          
205  0.166101            0.0018868           
206  0.164087            0.00186659          
207  0.162109            0.00185013          
208  0.160198            0.00183694          
209  0.158368            0.00182633          
210  0.156552            0.00181734          
211  0.154718            0.00180946          
212  0.152749            0.00180192          
213  0.15057             0.00179416          
214  0.103446            0.00128959          
215  0.10158             0.00126727          
216  0.0997692           0.00124634          
217  0.0980391           0.00122693          
218  0.0964032           0.00120901          
219  0.0947983           0.00119176          
220  0.0931964           0.00117481          
221  0.0914971           0.00115704          
222  0.0896413           0.00113781          
223  0.0871849           0.00111252          
224  0.0570171           0.000886962         
225  0.0556762           0.000882538         
226  0.054386            0.000878148         
227  0.0531641           0.000873741         
228  0.0520183           0.000869287         
229  0.050903            0.000864586         
230  0.0497986           0.000859515         
231  0.0486364           0.00085369          
232  0.0473782           0.000846775         
233  0.0457304           0.000836709         
234  0.0439827           0.0008247           
235  0.0263466           0.000643372         
236  0.0255824           0.000655064         
237  0.0248636           0.000664455         
238  0.0241951           0.000671743         
239  0.0235497           0.000677378         
240  0.0229154           0.000681521         
241  0.0222534           0.000684335         
242  0.0215428           0.000685609         
243  0.0206217           0.000684547         
244  0.0196567           0.000680139         
245  0.0100665           0.000403455         
246  0.00972385          0.00040957          
247  0.00940985          0.000413936         
248  0.00910851          0.000416771         
249  0.00881417          0.000418251         
250  0.0085088           0.000418437         
251  0.00818325          0.000417133         
252  0.00776474          0.000413211         
253  0.00733061          0.000406524         
