THPREDICTIONS NMCPD_D  Deuteron
0    0.980349            0.02395             
1    0.978203            0.00880189          
2    0.982108            0.00846839          
3    0.984363            0.0103609           
4    0.975325            0.00752701          
5    0.977754            0.00576238          
6    0.979289            0.00637618          
7    0.980521            0.00791647          
8    0.969468            0.00589341          
9    0.971386            0.00490228          
10   0.972313            0.00511694          
11   0.972935            0.00594215          
12   0.972969            0.00712698          
13   0.962161            0.00595338          
14   0.963936            0.0046537           
15   0.964703            0.00452541          
16   0.964933            0.0049604           
17   0.964538            0.00569534          
18   0.96356             0.00645222          
19   0.962378            0.00715443          
20   0.955891            0.00512329          
21   0.956044            0.00408963          
22   0.955811            0.00383236          
23   0.955109            0.00386995          
24   0.953911            0.00409777          
25   0.952364            0.00441347          
26   0.950477            0.00482037          
27   0.948323            0.00527733          
28   0.941998            0.0078665           
29   0.942311            0.00655084          
30   0.94201             0.00598273          
31   0.941173            0.00560733          
32   0.939994            0.00536227          
33   0.938437            0.00521836          
34   0.936531            0.005185            
35   0.934524            0.00531955          
36   0.932241            0.00559133          
37   0.928586            0.00676417          
38   0.929734            0.00524187          
39   0.929987            0.00444014          
40   0.929799            0.00382302          
41   0.928886            0.00350158          
42   0.927823            0.00351624          
43   0.926162            0.00383061          
44   0.924245            0.0043988           
45   0.922105            0.00509685          
46   0.92018             0.0057589           
47   0.918444            0.00754781          
48   0.919386            0.00563864          
49   0.919666            0.00467233          
50   0.919379            0.00407526          
51   0.918733            0.00386879          
52   0.917691            0.00394171          
53   0.916434            0.00417922          
54   0.914642            0.00454086          
55   0.912544            0.00497199          
56   0.910719            0.0054232           
57   0.909211            0.00580092          
58   0.908263            0.00773235          
59   0.906469            0.00632698          
60   0.905365            0.00567962          
61   0.904276            0.00521289          
62   0.902911            0.00486452          
63   0.901773            0.00459819          
64   0.900377            0.00436354          
65   0.899054            0.00422769          
66   0.89715             0.00424123          
67   0.895708            0.00441676          
68   0.894271            0.00470222          
69   0.885696            0.00921354          
70   0.880958            0.00753727          
71   0.877932            0.00662154          
72   0.87548             0.00594087          
73   0.873867            0.00545455          
74   0.872699            0.0051394           
75   0.872089            0.00492721          
76   0.871589            0.00487506          
77   0.871172            0.0049826           
78   0.870871            0.00521716          
79   0.870573            0.00552709          
80   0.870241            0.00588052          
81   0.851689            0.00749908          
82   0.848449            0.006896            
83   0.846552            0.00658754          
84   0.844969            0.00629681          
85   0.844136            0.00596004          
86   0.844028            0.0055539           
87   0.844298            0.00503634          
88   0.845195            0.00453257          
89   0.846074            0.00416383          
90   0.847292            0.00407493          
91   0.848154            0.00419103          
92   0.848926            0.00447144          
93   0.818254            0.0131544           
94   0.818177            0.0110707           
95   0.818214            0.00974959          
96   0.81858             0.00850451          
97   0.819252            0.00736905          
98   0.820086            0.00649874          
99   0.82131             0.0056655           
100  0.822641            0.00497997          
101  0.824248            0.00457068          
102  0.825972            0.0045665           
103  0.827646            0.00484304          
104  0.829024            0.00532118          
105  0.830358            0.0059856           
106  0.778098            0.0126906           
107  0.781458            0.0108304           
108  0.78497             0.00958759          
109  0.787495            0.00838696          
110  0.790087            0.00738573          
111  0.792222            0.00669816          
112  0.794099            0.0062277           
113  0.795758            0.00594346          
114  0.797002            0.00585431          
115  0.798315            0.00593449          
116  0.799506            0.00614461          
117  0.800938            0.00645876          
118  0.802188            0.00696136          
119  0.75786             0.0117477           
120  0.760381            0.010317            
121  0.762961            0.00899957          
122  0.765949            0.00807183          
123  0.767633            0.00750184          
124  0.769129            0.00711985          
125  0.770321            0.00691045          
126  0.771242            0.00679183          
127  0.771695            0.00675625          
128  0.772211            0.00676248          
129  0.772648            0.00680278          
130  0.773565            0.0069045           
131  0.757136            0.0140107           
132  0.758108            0.0129785           
133  0.759247            0.0123457           
134  0.760535            0.0121836           
135  0.762352            0.0123346           
136  0.763631            0.0127161           
137  0.765137            0.0133546           
138  0.76628             0.0139036           
139  0.767072            0.0144454           
140  0.768119            0.015015            
141  0.769604            0.0158148           
142  0.78042             0.0547558           
143  0.78608             0.0537511           
144  0.791716            0.0530382           
145  0.797445            0.0525381           
146  0.804162            0.0522708           
147  0.810297            0.0520061           
148  0.815125            0.0519191           
149  0.819593            0.0518712           
150  0.823762            0.0518252           
151  0.829877            0.0518037           
