THPREDICTIONS SLACD  Deuteron
0    0.329303            0.00464036          
1    0.322121            0.00511523          
2    0.322713            0.00487401          
3    0.323084            0.00472011          
4    0.323663            0.00450682          
5    0.303064            0.00474757          
6    0.30209             0.0046147           
7    0.30101             0.0044874           
8    0.298956            0.00429206          
9    0.297769            0.00420061          
10   0.296251            0.00409932          
11   0.289187            0.00425595          
12   0.287688            0.00414388          
13   0.286107            0.00404102          
14   0.28449             0.0039483           
15   0.282784            0.00386035          
16   0.281843            0.0038155           
17   0.280815            0.00376833          
18   0.279917            0.003728            
19   0.277366            0.00361437          
20   0.262959            0.00422558          
21   0.261496            0.00413259          
22   0.260266            0.00405827          
23   0.256409            0.00384214          
24   0.254478            0.00374021          
25   0.252508            0.00363943          
26   0.249995            0.00351462          
27   0.248092            0.00342293          
28   0.246236            0.00333627          
29   0.244647            0.00326354          
30   0.216229            0.00438767          
31   0.214304            0.00415214          
32   0.211953            0.00389152          
33   0.209638            0.00366071          
34   0.205648            0.0033152           
35   0.202413            0.00307697          
36   0.200475            0.00295012          
37   0.19761             0.00278209          
38   0.195627            0.00267813          
39   0.192931            0.00255196          
40   0.191511            0.00249194          
41   0.189756            0.00242323          
42   0.152394            0.00291737          
43   0.147321            0.00254994          
44   0.145258            0.00242243          
45   0.143622            0.00232945          
46   0.141891            0.00223823          
47   0.140261            0.00215875          
48   0.138576            0.00208255          
49   0.136498            0.00199643          
50   0.134254            0.00191224          
51   0.132628            0.00185648          
52   0.13107             0.00180681          
53   0.129294            0.00175433          
54   0.127534            0.00170632          
55   0.125844            0.00166359          
56   0.123974            0.00161983          
57   0.120821            0.00155342          
58   0.119202            0.00152245          
59   0.0912739           0.00168101          
60   0.0896958           0.0015872           
61   0.0878611           0.00148739          
62   0.0860807           0.00139984          
63   0.0822553           0.00124146          
64   0.0800766           0.00116845          
65   0.0786894           0.00112805          
66   0.076979            0.00108435          
67   0.0756031           0.0010538           
68   0.0738994           0.00102121          
69   0.0725608           0.000999351         
70   0.0711222           0.000979168         
71   0.0696689           0.000961906         
72   0.0686212           0.0009512           
73   0.0676545           0.000942474         
74   0.0664631           0.000933086         
75   0.046639            0.00183443          
76   0.0453927           0.00162165          
77   0.04298             0.00125677          
78   0.0419328           0.00111855          
79   0.0403154           0.000930839         
80   0.0392904           0.000829269         
81   0.0383059           0.000745464         
82   0.0368377           0.000647433         
83   0.0360512           0.00060883          
84   0.0353401           0.000582355         
85   0.0343508           0.000558278         
86   0.0336234           0.000549261         
87   0.0325642           0.000547217         
88   0.0319474           0.000550933         
89   0.0188793           0.000843613         
90   0.0180675           0.000676454         
91   0.0171588           0.000517225         
92   0.016374            0.000407821         
93   0.015676            0.000337732         
94   0.015131            0.000304052         
95   0.0147135           0.000291344         
96   0.0143421           0.000288856         
97   0.0139589           0.000293547         
98   0.0136071           0.000302783         
99   0.0132748           0.000314506         
100  0.0126221           0.00033729          
101  0.0122917           0.000352065         
102  0.00537477          0.000287633         
103  0.00511429          0.000230602         
104  0.00488404          0.0001852           
105  0.00458055          0.000136214         
106  0.00437071          0.000113851         
107  0.00422739          0.000106324         
108  0.00403869          0.000107072         
109  0.00390261          0.000114143         
110  0.00365347          0.000135996         
111  0.00330691          0.000171914         
