THPREDICTIONS F2R10_D  Deuteron
0    3467.73             25748.7             
1    3423.47             25433.5             
2    3374.99             25082.9             
3    3350.36             24967.4             
4    3261.18             24231.1             
5    3073.45             22547.7             
6    2954.62             21528.8             
7    2907.14             21192.9             
8    2932.28             21558               
9    3071.34             23034.1             
10   3493.58             27269.4             
11   3110.05             23682.3             
12   1841.07             11781.6             
13   973.442             5162.56             
14   726.068             4569.65             
15   731.359             4604.83             
16   768.211             4819.72             
17   810.454             5078.99             
18   760.312             4782.75             
19   606.584             4161.27             
20   519.764             4072.17             
21   507.23              4116.1              
22   512.983             4161.66             
23   518.709             4206.96             
24   524.431             4252.18             
25   530.153             4297.34             
26   535.849             4342.25             
27   541.492             4386.68             
28   547.085             4430.66             
29   552.6               4473.96             
30   557.978             4516.09             
31   563.226             4557.1              
32   568.392             4597.42             
33   573.465             4636.96             
34   578.404             4675.39             
35   583.192             4712.63             
36   587.778             4748.16             
37   592.102             4781.43             
38   596.183             4812.68             
39   600.022             4841.99             
40   603.836             4871.49             
41   607.184             4897.07             
42   609.877             4917.01             
43   613.093             4942.46             
44   616.85              4973.48             
45   620.547             5005.15             
46   623.589             5031.64             
47   626.803             5061.01             
48   629.43              5086.93             
49   631.1               5103.54             
50   632.915             5119.35             
51   635.762             5144.61             
52   622.438             5018.19             
53   587.507             4680.02             
54   574.843             4576.03             
55   565.34              4538.38             
56   582.813             4731.58             
57   663.143             5501.41             
58   694.203             5773.33             
59   554.852             4370.14             
60   292.04              2017.31             
61   126.97              1157.78             
62   48.8016             477.098             
63   8.68224             76.5215             
64   1.01647             0.0348234           
65   1.01416             0.0325127           
66   1.01151             0.0289336           
67   1.00871             0.0255048           
68   1.00589             0.0227708           
69   1.00325             0.0211752           
70   1.00118             0.0201246           
71   0.999569            0.018831            
72   0.998383            0.0175365           
73   0.997646            0.0164185           
74   0.996763            0.0158352           
75   0.995616            0.0154602           
76   0.994562            0.0150528           
77   0.993718            0.0146129           
78   0.992817            0.0148898           
79   0.991747            0.0150756           
80   0.990687            0.0150965           
81   0.989792            0.0151254           
82   0.98908             0.0152018           
83   0.988509            0.015275            
84   0.988316            0.0154822           
85   0.988454            0.0159554           
86   0.988426            0.0164378           
87   0.988399            0.0167036           
88   0.98833             0.0168777           
89   0.988327            0.0168739           
90   0.988469            0.0176599           
91   0.988718            0.0186534           
92   0.989151            0.0194101           
93   0.989983            0.0198297           
94   0.990766            0.0204896           
95   0.991647            0.0211936           
96   0.993025            0.0220932           
97   0.994767            0.0231916           
98   0.996327            0.0245942           
99   0.997258            0.0257924           
100  0.998335            0.0273988           
101  0.999526            0.0290452           
102  1.00034             0.0308242           
103  1.00036             0.0325787           
104  1.00065             0.0344034           
105  1.00037             0.0363585           
106  0.999646            0.0386406           
107  0.997978            0.0406624           
108  0.995915            0.0427902           
109  0.994359            0.0454516           
110  0.993478            0.0481651           
111  0.992902            0.0508845           
112  0.992471            0.053632            
113  0.992369            0.0565755           
114  0.99269             0.0597299           
115  0.993272            0.063058            
116  0.994022            0.0663502           
117  0.994932            0.0696438           
118  0.995806            0.0725273           
119  0.996517            0.0752376           
120  0.997326            0.078196            
121  0.998134            0.0815996           
122  0.998879            0.0856259           
123  0.999579            0.0901409           
124  1.00033             0.0949768           
125  1.00128             0.100085            
126  1.00228             0.105544            
127  1.00334             0.111336            
128  1.0045              0.117417            
129  1.00635             0.123961            
130  1.00853             0.131073            
131  1.01035             0.138677            
132  1.01192             0.146693            
133  1.01332             0.155145            
134  1.01461             0.164132            
135  1.01603             0.173592            
136  1.01774             0.183459            
137  1.01962             0.193877            
138  1.02149             0.20489             
139  1.02331             0.216438            
140  1.02507             0.228509            
141  1.0271              0.241421            
142  1.02946             0.255141            
143  1.03206             0.269965            
144  1.03514             0.28558             
145  1.03878             0.301906            
146  1.04254             0.319046            
147  1.0472              0.339198            
148  1.05115             0.358812            
149  1.05498             0.378765            
150  1.05854             0.397222            
151  1.06145             0.412213            
152  1.06598             0.438438            
153  1.07217             0.474413            
154  1.07832             0.51502             
155  1.08468             0.559232            
156  1.09567             0.613963            
157  1.11025             0.674509            
158  1.13665             0.800257            
159  1.16997             0.960582            
160  1.18665             0.999135            
161  1.18894             0.936239            
162  1.17155             0.711635            
163  1.13839             0.358969            
164  1.11941             0.167313            
165  1.11577             0.136749            
166  1.10239             0.0901601           
167  1.02864             0.606123            
168  1.05863             0.316952            
169  1.17513             0.819883            
170  1.35846             2.45069             
171  2.10344             9.34996             
172  2.51545             13.0377             
173  2.57932             13.3639             
174  2.30805             10.458              
175  1.53986             2.92776             
176  0.502705            7.29358             
177  -0.652941           18.8096             
178  -1.81825            30.546              
179  -4.79584            60.6002             
180  -8.73999            100.487             
181  -8.75575            101.081             
182  -4.96544            63.6021             
183  2.39011             9.56117             
184  24.9475             234.55              
185  42.3671             408.319             
186  53.7752             522.131             
187  59.0323             574.595             
188  50.4553             489.21              
189  34.5843             331.119             
190  20.9984             195.621             
191  9.86795             84.6705             
192  1.36036             1.19823             
193  1.39391             1.4914              
194  0.790196            6.37322             
195  1.20494             2.58953             
196  1.36851             3.00198             
197  2.72946             10.3783             
198  0.477765            6.17341             
199  2.22521             7.45962             
