THPREDICTIONS BCDMSD  Deuteron
0    0.363638            0.00483375          
1    0.367018            0.00481255          
2    0.346857            0.00484657          
3    0.348141            0.00482431          
4    0.349192            0.00481031          
5    0.325819            0.00463436          
6    0.325693            0.00460474          
7    0.325522            0.00458148          
8    0.32531             0.00456848          
9    0.325083            0.00456688          
10   0.302109            0.00433421          
11   0.301168            0.00429702          
12   0.300199            0.00426922          
13   0.299212            0.0042533           
14   0.298324            0.00424949          
15   0.297326            0.00425635          
16   0.295934            0.00426931          
17   0.273446            0.0039613           
18   0.271833            0.00393015          
19   0.270301            0.00390639          
20   0.268746            0.00389104          
21   0.267373            0.00388421          
22   0.26586             0.00388439          
23   0.263859            0.00388438          
24   0.262287            0.00390371          
25   0.260547            0.00393525          
26   0.238328            0.00338003          
27   0.236281            0.0033534           
28   0.234191            0.00333346          
29   0.232448            0.00332244          
30   0.230522            0.0033145           
31   0.228001            0.00330514          
32   0.226048            0.00331078          
33   0.223909            0.00332562          
34   0.221887            0.00334819          
35   0.219977            0.00337754          
36   0.18798             0.00277028          
37   0.185476            0.00274621          
38   0.183016            0.00272978          
39   0.180885            0.00272067          
40   0.178519            0.00271491          
41   0.175505            0.00270838          
42   0.173225            0.00270869          
43   0.17075             0.00270875          
44   0.168432            0.00270949          
45   0.166262            0.00271259          
46   0.164077            0.00271931          
47   0.161933            0.00273013          
48   0.125015            0.00200329          
49   0.122448            0.00197517          
50   0.119922            0.00195536          
51   0.117738            0.00194506          
52   0.11538             0.00194181          
53   0.112297            0.00193829          
54   0.110018            0.00194822          
55   0.10754             0.00196139          
56   0.105279            0.00197413          
57   0.103178            0.00198164          
58   0.101084            0.00198646          
59   0.0990493           0.00198996          
60   0.0971098           0.00199506          
61   0.0952793           0.00200172          
62   0.0708094           0.00113774          
63   0.0687768           0.00112524          
64   0.0670352           0.00112057          
65   0.0651678           0.0011197           
66   0.0627581           0.0011224           
67   0.0609895           0.00114009          
68   0.0591071           0.00116727          
69   0.0573614           0.0011969           
70   0.0557826           0.00122553          
71   0.0542208           0.00124949          
72   0.0527159           0.00126824          
73   0.0512898           0.00128203          
74   0.0499546           0.00129304          
75   0.0486593           0.00130341          
76   0.0339946           0.000672653         
77   0.0328006           0.000671982         
78   0.0315611           0.000675735         
79   0.0300172           0.000686308         
80   0.028905            0.000705024         
81   0.027738            0.000729588         
82   0.0266812           0.000753438         
83   0.0257238           0.000775296         
84   0.0247805           0.000796146         
85   0.0238956           0.000816325         
86   0.0230652           0.000832782         
87   0.0222934           0.000845727         
88   0.0215479           0.000857272         
89   0.020816            0.000869655         
90   0.0108627           0.000352525         
91   0.0103577           0.000346702         
92   0.00991148          0.000344011         
93   0.00948489          0.000346839         
94   0.00908641          0.000355395         
95   0.00871683          0.00036965          
96   0.00838111          0.000388827         
97   0.00806056          0.000413463         
98   0.00774543          0.000444384         
99   0.376983            0.00491133          
100  0.378992            0.00496587          
101  0.35197             0.00480759          
102  0.352785            0.00482798          
103  0.353386            0.00485514          
104  0.324785            0.00457498          
105  0.324167            0.00458804          
106  0.323756            0.00462199          
107  0.323252            0.00467496          
108  0.297326            0.00425635          
109  0.295934            0.00426931          
110  0.294847            0.00430265          
111  0.293618            0.00435205          
112  0.29242             0.00441097          
113  0.291257            0.00447722          
114  0.262287            0.00390371          
115  0.260547            0.00393525          
116  0.258881            0.00397516          
117  0.257287            0.0040203           
118  0.255654            0.00407462          
119  0.25401             0.00413454          
120  0.226048            0.00331078          
121  0.223909            0.00332562          
122  0.221887            0.00334819          
123  0.219977            0.00337754          
124  0.218033            0.00341489          
125  0.216099            0.00345751          
126  0.214207            0.00350417          
127  0.212376            0.00355361          
128  0.17075             0.00270875          
129  0.168432            0.00270949          
130  0.166262            0.00271259          
131  0.164077            0.00271931          
132  0.161933            0.00273013          
133  0.159862            0.00274555          
134  0.15788             0.00276464          
135  0.15591             0.00278734          
136  0.153916            0.00281458          
137  0.10754             0.00196139          
138  0.105279            0.00197413          
139  0.103178            0.00198164          
140  0.101084            0.00198646          
141  0.0990493           0.00198996          
142  0.0971098           0.00199506          
143  0.0952793           0.00200172          
144  0.0934872           0.0020109           
145  0.0917026           0.00202399          
146  0.0898119           0.00204292          
147  0.0591071           0.00116727          
148  0.0573614           0.0011969           
149  0.0557826           0.00122553          
150  0.0542208           0.00124949          
151  0.0527159           0.00126824          
152  0.0512898           0.00128203          
153  0.0499546           0.00129304          
154  0.0486593           0.00130341          
155  0.0473822           0.00131496          
156  0.0460468           0.0013308           
157  0.0446136           0.00135441          
158  0.027738            0.000729588         
159  0.0266812           0.000753438         
160  0.0257238           0.000775296         
161  0.0247805           0.000796146         
162  0.0238956           0.000816325         
163  0.0230652           0.000832782         
164  0.0222934           0.000845727         
165  0.0215479           0.000857272         
166  0.020816            0.000869655         
167  0.0200562           0.000887017         
168  0.019249            0.000914633         
169  0.00991148          0.000344011         
170  0.00948489          0.000346839         
171  0.00908641          0.000355395         
172  0.00871683          0.00036965          
173  0.00838111          0.000388827         
174  0.00806056          0.000413463         
175  0.00774543          0.000444384         
176  0.00741776          0.000486449         
177  0.00707009          0.000545852         
178  0.354836            0.00497868          
179  0.355466            0.00506615          
180  0.322727            0.00474085          
181  0.322191            0.00481737          
182  0.32159             0.00490735          
183  0.32098             0.00501222          
184  0.29242             0.00441097          
185  0.291257            0.00447722          
186  0.290043            0.00455395          
187  0.288814            0.00463905          
188  0.287596            0.0047305           
189  0.258881            0.00397516          
190  0.257287            0.0040203           
191  0.255654            0.00407462          
192  0.25401             0.00413454          
193  0.252391            0.0041993           
194  0.250813            0.00426721          
195  0.249226            0.00434077          
196  0.221887            0.00334819          
197  0.219977            0.00337754          
198  0.218033            0.00341489          
199  0.216099            0.00345751          
200  0.214207            0.00350417          
201  0.212376            0.00355361          
202  0.21054             0.00360733          
203  0.208669            0.00366675          
204  0.206644            0.0037367           
205  0.166262            0.00271259          
206  0.164077            0.00271931          
207  0.161933            0.00273013          
208  0.159862            0.00274555          
209  0.15788             0.00276464          
210  0.15591             0.00278734          
211  0.153916            0.00281458          
212  0.151773            0.00284871          
213  0.1494              0.00289306          
214  0.103178            0.00198164          
215  0.101084            0.00198646          
216  0.0990493           0.00198996          
