THPREDICTIONS NMCPD_D  Deuteron
0    0.982491            0.0192095           
1    0.977874            0.0110928           
2    0.98141             0.00922205          
3    0.983791            0.0141571           
4    0.975767            0.00793766          
5    0.979621            0.00683737          
6    0.982078            0.00900763          
7    0.984109            0.0118132           
8    0.969912            0.00779893          
9    0.9725              0.00581314          
10   0.973813            0.00582941          
11   0.974778            0.00675811          
12   0.975094            0.00811924          
13   0.963027            0.0066792           
14   0.964986            0.00518388          
15   0.965771            0.00474055          
16   0.965962            0.00482749          
17   0.965526            0.00536425          
18   0.964513            0.00610513          
19   0.963307            0.00691105          
20   0.956906            0.00568714          
21   0.957017            0.00487631          
22   0.956743            0.00466593          
23   0.955934            0.00467277          
24   0.954522            0.0048857           
25   0.95273             0.0052199           
26   0.950585            0.00567744          
27   0.948174            0.00624225          
28   0.942744            0.00675361          
29   0.942787            0.00538236          
30   0.942275            0.00484432          
31   0.941254            0.00455349          
32   0.939912            0.00444058          
33   0.938156            0.00447101          
34   0.935984            0.00464697          
35   0.933669            0.0049862           
36   0.931044            0.0054582           
37   0.933125            0.00642389          
38   0.933077            0.00526685          
39   0.932548            0.00470751          
40   0.9316              0.00430297          
41   0.930063            0.00401431          
42   0.928545            0.0038462           
43   0.926448            0.00384544          
44   0.924079            0.00413591          
45   0.921513            0.00468796          
46   0.919134            0.0054359           
47   0.923966            0.00751324          
48   0.92366             0.00614408          
49   0.923113            0.00537234          
50   0.922046            0.00473535          
51   0.920692            0.004273            
52   0.919106            0.00404336          
53   0.91736             0.00402754          
54   0.91506             0.00428818          
55   0.912444            0.00482276          
56   0.910071            0.00557976          
57   0.908083            0.00633986          
58   0.910919            0.00820557          
59   0.908876            0.00681455          
60   0.907564            0.00603495          
61   0.906141            0.00531237          
62   0.904359            0.00464701          
63   0.902782            0.0041482           
64   0.900884            0.00385349          
65   0.89901             0.00397053          
66   0.896497            0.00451969          
67   0.894344            0.0053374           
68   0.892175            0.00633056          
69   0.889561            0.0103309           
70   0.884351            0.00850355          
71   0.881221            0.00742483          
72   0.878713            0.00650954          
73   0.876837            0.00574847          
74   0.875216            0.00521358          
75   0.873921            0.00482171          
76   0.87257             0.00473462          
77   0.871254            0.00501457          
78   0.869951            0.00560697          
79   0.868572            0.00639313          
80   0.8671              0.00732642          
81   0.862099            0.00918158          
82   0.857253            0.00786335          
83   0.854034            0.00703009          
84   0.851177            0.00616564          
85   0.849396            0.00543519          
86   0.848403            0.00490529          
87   0.847601            0.00451462          
88   0.847181            0.00435131          
89   0.846615            0.00451888          
90   0.846435            0.00497988          
91   0.845877            0.00563617          
92   0.845098            0.0064767           
93   0.82843             0.0126025           
94   0.827575            0.010184            
95   0.826384            0.00878411          
96   0.825051            0.00751512          
97   0.823918            0.00636753          
98   0.823401            0.0055658           
99   0.823342            0.00495413          
100  0.823337            0.00463704          
101  0.823422            0.00464296          
102  0.823561            0.00496668          
103  0.823676            0.00551866          
104  0.823345            0.00628567          
105  0.822572            0.0073605           
106  0.790301            0.0124055           
107  0.792198            0.0102485           
108  0.795087            0.00896084          
109  0.796682            0.00779802          
110  0.797381            0.00664961          
111  0.797408            0.00577849          
112  0.797096            0.0051793           
113  0.796579            0.00494774          
114  0.795737            0.00513868          
115  0.794994            0.00553156          
116  0.794119            0.00609243          
117  0.793397            0.00683335          
118  0.791562            0.00808245          
119  0.767241            0.0109081           
120  0.769475            0.00989579          
121  0.771938            0.00927461          
122  0.774945            0.00872501          
123  0.775758            0.00822673          
124  0.774797            0.00777376          
125  0.772478            0.00771861          
126  0.769032            0.00813126          
127  0.765355            0.00877259          
128  0.761603            0.00946604          
129  0.757507            0.0102206           
130  0.751965            0.011523            
131  0.774768            0.0157485           
132  0.771625            0.0152626           
133  0.767851            0.0148753           
134  0.764854            0.0141652           
135  0.761903            0.013088            
136  0.75693             0.0125353           
137  0.750266            0.0130164           
138  0.743243            0.014195            
139  0.735836            0.0157366           
140  0.72799             0.0176221           
141  0.716283            0.0206837           
142  0.840132            0.0498189           
143  0.821932            0.0460015           
144  0.803272            0.0438944           
145  0.785764            0.0426024           
146  0.771146            0.0415915           
147  0.757278            0.0413365           
148  0.744519            0.0415799           
149  0.731869            0.0429999           
150  0.718052            0.0462316           
151  0.697228            0.0551367           
