THPREDICTIONS SLACD  Deuteron
0    0.331693            0.00531046          
1    0.323571            0.00513989          
2    0.324147            0.0050395           
3    0.324521            0.00498964          
4    0.325104            0.00492577          
5    0.306133            0.00534766          
6    0.305062            0.00519951          
7    0.303889            0.00505848          
8    0.301608            0.00483582          
9    0.300307            0.00473033          
10   0.29867             0.00461735          
11   0.293191            0.00488033          
12   0.29157             0.00476596          
13   0.289786            0.00463606          
14   0.287947            0.00451926          
15   0.286005            0.00441287          
16   0.284937            0.00436009          
17   0.283774            0.00430815          
18   0.282777            0.00426591          
19   0.279977            0.00416327          
20   0.266775            0.0045998           
21   0.265253            0.00446213          
22   0.263967            0.00435767          
23   0.25994             0.00412037          
24   0.257853            0.00401559          
25   0.255671            0.00390943          
26   0.252859            0.0037857           
27   0.250721            0.00370561          
28   0.248636            0.00363646          
29   0.246864            0.00358441          
30   0.220423            0.00430188          
31   0.218225            0.00400867          
32   0.215617            0.00373548          
33   0.213102            0.00353084          
34   0.208936            0.00328314          
35   0.205604            0.0031648           
36   0.203569            0.00311744          
37   0.200514            0.00303956          
38   0.198374            0.0029831           
39   0.195418            0.00291294          
40   0.193853            0.00288116          
41   0.191922            0.00284729          
42   0.154698            0.0032166           
43   0.149532            0.00268654          
44   0.147428            0.0025431           
45   0.145775            0.00245539          
46   0.144018            0.00237793          
47   0.142383            0.00231669          
48   0.140692            0.00226231          
49   0.138614            0.00220566          
50   0.136373            0.00215499          
51   0.134745            0.00212964          
52   0.133178            0.00211171          
53   0.13137             0.00209268          
54   0.129557            0.00207614          
55   0.127789            0.00205671          
56   0.125806            0.00203131          
57   0.122409            0.00199599          
58   0.120642            0.00198249          
59   0.0941054           0.00177447          
60   0.092362            0.00165914          
61   0.090335            0.00156132          
62   0.0883482           0.00148513          
63   0.0840786           0.00137817          
64   0.081655            0.00133312          
65   0.080119            0.00130523          
66   0.0782337           0.0012705           
67   0.0767243           0.0012416           
68   0.0748606           0.00120558          
69   0.0733957           0.00117991          
70   0.0718194           0.00115991          
71   0.0702192           0.00114737          
72   0.0690523           0.00114127          
73   0.0679729           0.00113924          
74   0.0666285           0.00113613          
75   0.0495862           0.00131978          
76   0.048016            0.00118357          
77   0.0448921           0.000938095         
78   0.0435381           0.000854138         
79   0.0414626           0.000758361         
80   0.0401617           0.000716359         
81   0.0389235           0.00068971          
82   0.0370994           0.00066944          
83   0.0361458           0.000662924         
84   0.0352836           0.000661319         
85   0.0341039           0.000660117         
86   0.0332388           0.000662333         
87   0.0320012           0.000669501         
88   0.0312823           0.000677361         
89   0.0207142           0.00076429          
90   0.0195322           0.000571808         
91   0.018205            0.000407872         
92   0.017062            0.000314373         
93   0.016058            0.000275875         
94   0.0152931           0.000273502         
95   0.0147166           0.000283288         
96   0.0142152           0.000296501         
97   0.0137033           0.000312531         
98   0.0132484           0.000324357         
99   0.0128214           0.000335665         
100  0.0120334           0.000360946         
101  0.0116305           0.000360899         
102  0.00619522          0.000320328         
103  0.00580337          0.000234602         
104  0.00541346          0.000170911         
105  0.00489706          0.00012754          
106  0.00453709          0.000119821         
107  0.00428866          0.000122618         
108  0.00396856          0.000139557         
109  0.00374229          0.000158619         
110  0.0033402           0.000206684         
111  0.00279923          0.000307194         
