THPREDICTIONS BCDMSD  170831-nh-001
0    0.412967            0.00771663          
1    0.420859            0.00757692          
2    0.393748            0.00690963          
3    0.398588            0.00681099          
4    0.402795            0.00672708          
5    0.373755            0.00654689          
6    0.376432            0.00646151          
7    0.379161            0.00637563          
8    0.381864            0.00629148          
9    0.3842              0.00621907          
10   0.356065            0.00616542          
11   0.35771             0.00608458          
12   0.359374            0.00600346          
13   0.361009            0.00592402          
14   0.362403            0.00585569          
15   0.363889            0.00578218          
16   0.365131            0.00569998          
17   0.341097            0.00584099          
18   0.34179             0.00576471          
19   0.342594            0.0056891           
20   0.343328            0.00561445          
21   0.34394             0.00555023          
22   0.344573            0.00548107          
23   0.344946            0.005404            
24   0.345516            0.00533528          
25   0.346085            0.00526181          
26   0.327025            0.00557893          
27   0.327012            0.00550176          
28   0.32686             0.00542418          
29   0.326813            0.00535912          
30   0.326695            0.00528851          
31   0.326275            0.00520899          
32   0.326085            0.00513908          
33   0.325838            0.00506418          
34   0.325561            0.00499522          
35   0.325262            0.00493181          
36   0.305201            0.00524468          
37   0.304265            0.005174            
38   0.303315            0.00510491          
39   0.302462            0.00504554          
40   0.301403            0.00497996          
41   0.300046            0.00490902          
42   0.299014            0.00484561          
43   0.297858            0.00477768          
44   0.296742            0.00471507          
45   0.295669            0.00465738          
46   0.294555            0.00460019          
47   0.29343             0.00454509          
48   0.272821            0.0051192           
49   0.271054            0.00504573          
50   0.269294            0.00497365          
51   0.267748            0.0049114           
52   0.266052            0.00484411          
53   0.263826            0.00476547          
54   0.26209             0.00469861          
55   0.260091            0.00462496          
56   0.258282            0.00455815          
57   0.256574            0.00449645          
58   0.254834            0.00443518          
59   0.253109            0.00437583          
60   0.251424            0.0043194           
61   0.249798            0.00426622          
62   0.236339            0.00471643          
63   0.234081            0.00463207          
64   0.232115            0.00456029          
65   0.229975            0.00448381          
66   0.227198            0.00439103          
67   0.225056            0.00431791          
68   0.222727            0.00423979          
69   0.220449            0.00416606          
70   0.218404            0.0040998           
71   0.21633             0.00403396          
72   0.214289            0.00397034          
73   0.212313            0.00390988          
74   0.21042             0.00385299          
75   0.20854             0.00379742          
76   0.198587            0.00398903          
77   0.196412            0.00391875          
78   0.194059            0.00384375          
79   0.191018            0.00375069          
80   0.188703            0.00367969          
81   0.186201            0.0036042           
82   0.183867            0.00353501          
83   0.181691            0.00347159          
84   0.179407            0.00340717          
85   0.177281            0.00334708          
86   0.175215            0.00328983          
87   0.173245            0.0032361           
88   0.171298            0.00318373          
89   0.169338            0.0031318           
90   0.152083            0.00316699          
91   0.149756            0.00309811          
92   0.147595            0.00303467          
93   0.145436            0.00297172          
94   0.143326            0.00291088          
95   0.141246            0.00285195          
96   0.139324            0.00279763          
97   0.137433            0.00274472          
98   0.135538            0.00269226          
99   0.445719            0.00717847          
100  0.451051            0.00710097          
101  0.415123            0.00649079          
102  0.419184            0.00641576          
103  0.423017            0.00633508          
104  0.386719            0.00614125          
105  0.388987            0.00605509          
106  0.391528            0.00597785          
107  0.394255            0.00589515          
108  0.363889            0.00578218          
109  0.365131            0.00569998          
110  0.366579            0.00562713          
111  0.368115            0.00554909          
112  0.369511            0.00547719          
113  0.370772            0.00541107          
114  0.345516            0.00533528          
115  0.346085            0.00526181          
116  0.346564            0.00519435          
117  0.346969            0.0051323           
118  0.347351            0.00507056          
119  0.347662            0.00501138          
120  0.326085            0.00513908          
121  0.325838            0.00506418          
122  0.325561            0.00499522          
123  0.325262            0.00493181          
124  0.32492             0.00486915          
125  0.324542            0.00480897          
