THPREDICTIONS NMCPD_D  170831-nh-001
0    1.07779             0.0238581           
1    1.07375             0.0212224           
2    1.09113             0.0194662           
3    1.10337             0.0183478           
4    1.06716             0.0195984           
5    1.08437             0.0179356           
6    1.09769             0.016789            
7    1.11126             0.0157337           
8    1.05209             0.0180084           
9    1.07128             0.0168401           
10   1.08518             0.0160457           
11   1.10028             0.0152263           
12   1.11574             0.0144112           
13   1.04204             0.0203226           
14   1.06082             0.0190773           
15   1.07513             0.018171            
16   1.09049             0.0172292           
17   1.10654             0.0162731           
18   1.12093             0.0154436           
19   1.13387             0.0147429           
20   1.03402             0.0210713           
21   1.05019             0.0196151           
22   1.06284             0.0186043           
23   1.07709             0.0175616           
24   1.09254             0.0165478           
25   1.1069              0.0157009           
26   1.12158             0.014934            
27   1.13571             0.0142803           
28   1.01668             0.0216002           
29   1.03059             0.020094            
30   1.04201             0.0191082           
31   1.0555              0.0181319           
32   1.07058             0.0172181           
33   1.08495             0.0164471           
34   1.1003              0.0157241           
35   1.11604             0.0150935           
36   1.13095             0.0145404           
37   0.997772            0.0192309           
38   1.01112             0.0180625           
39   1.02223             0.0172927           
40   1.03582             0.0165165           
41   1.05085             0.0157804           
42   1.06538             0.0151745           
43   1.08119             0.014593            
44   1.09751             0.0140847           
45   1.11312             0.01366             
46   1.1279              0.0133551           
47   0.985694            0.0184052           
48   0.998562            0.0174166           
49   1.0093              0.0167893           
50   1.02213             0.0161878           
51   1.03693             0.0156408           
52   1.05096             0.0151947           
53   1.06674             0.0147664           
54   1.08296             0.0143775           
55   1.09888             0.0140459           
56   1.11417             0.0137927           
57   1.12655             0.0136163           
58   0.968724            0.0192679           
59   0.982432            0.018389            
60   0.993458            0.0178571           
61   1.00657             0.0173317           
62   1.0212              0.0168054           
63   1.03537             0.0163558           
64   1.05088             0.0158976           
65   1.06761             0.0154555           
66   1.08376             0.0150304           
67   1.09909             0.0146984           
68   1.11387             0.0144055           
69   0.958709            0.0186749           
70   0.974157            0.0179312           
71   0.986758            0.017443            
72   1.00104             0.016976            
73   1.01691             0.0165201           
74   1.03161             0.0161063           
75   1.04812             0.0156709           
76   1.0654              0.0152371           
77   1.08335             0.0148039           
78   1.09938             0.0144647           
79   1.11491             0.0141623           
80   1.13026             0.0138867           
81   0.974602            0.0177706           
82   0.992771            0.016854            
83   1.00725             0.016276            
84   1.02444             0.0157143           
85   1.04186             0.0152494           
86   1.05868             0.0148609           
87   1.0766              0.0144784           
88   1.09572             0.014114            
89   1.11588             0.013757            
90   1.13379             0.0134929           
91   1.15064             0.0132628           
92   1.16785             0.0130544           
93   1.01657             0.0212646           
94   1.04038             0.0193346           
95   1.05825             0.0181501           
96   1.07826             0.0170903           
97   1.10041             0.0161832           
98   1.12039             0.0155499           
99   1.14223             0.0150118           
100  1.16435             0.0145698           
101  1.18875             0.0141972           
102  1.20953             0.0139515           
103  1.22956             0.0137646           
104  1.24999             0.0136115           
105  1.27334             0.0134829           
106  1.1441              0.0203144           
107  1.17301             0.0192648           
108  1.19802             0.0186466           
109  1.22502             0.0180926           
110  1.2546              0.0176781           
111  1.2827              0.0173887           
112  1.31152             0.0171683           
113  1.34189             0.0170032           
114  1.37563             0.0169069           
115  1.40312             0.0168566           
116  1.42978             0.016842            
117  1.4577              0.0168678           
118  1.49476             0.0169402           
119  1.48364             0.0253627           
120  1.52319             0.0249825           
121  1.57209             0.024659            
122  1.6246              0.0244932           
123  1.67176             0.0244049           
124  1.72386             0.0243816           
125  1.77653             0.0244105           
126  1.83676             0.0245283           
127  1.88371             0.0246152           
128  1.92983             0.0247409           
129  1.97684             0.0249139           
130  2.04444             0.025251            
131  2.19631             0.0430932           
132  2.28152             0.043109            
133  2.3801              0.0435301           
134  2.47072             0.0442022           
135  2.57122             0.0451807           
136  2.67285             0.0463517           
137  2.79085             0.0479345           
138  2.88352             0.0492368           
139  2.97088             0.050522            
140  3.06292             0.051946            
141  3.1964              0.0541384           
142  4.67029             0.207011            
143  4.93074             0.21213             
144  5.20273             0.21945             
145  5.49372             0.229046            
146  5.8073              0.240977            
147  6.1552              0.255296            
148  6.43731             0.267897            
149  6.70973             0.280466            
150  6.9921              0.293755            
151  7.40768             0.31355             
