THPREDICTIONS SLACD  170831-nh-001
0    0.352923            0.00789471          
1    0.342875            0.00763714          
2    0.346324            0.00750133          
3    0.348975            0.00739975          
4    0.353508            0.00723241          
5    0.330834            0.00702582          
6    0.332164            0.00694924          
7    0.333564            0.00686877          
8    0.336101            0.00672663          
9    0.337514            0.00664851          
10   0.339253            0.00655138          
11   0.329287            0.00678251          
12   0.3305              0.00669295          
13   0.331718            0.00660312          
14   0.332905            0.00651539          
15   0.334089            0.00642628          
16   0.334728            0.00637808          
17   0.335392            0.00632638          
18   0.335977            0.00628105          
19   0.33756             0.00615353          
20   0.323464            0.00669734          
21   0.323923            0.00662445          
22   0.324274            0.00656482          
23   0.325216            0.006385            
24   0.325595            0.00629971          
25   0.325929            0.0062153           
26   0.326275            0.00611032          
27   0.326481            0.00603243          
28   0.326657            0.00595683          
29   0.32677             0.00589294          
30   0.314255            0.00639695          
31   0.313946            0.00629737          
32   0.313498            0.00618286          
33   0.312985            0.00607709          
34   0.31197             0.00590721          
35   0.311033            0.00578093          
36   0.310432            0.0057103           
37   0.309488            0.00561093          
38   0.308796            0.00554497          
39   0.307824            0.00545764          
40   0.307299            0.00541208          
41   0.306626            0.00535672          
42   0.291461            0.00604548          
43   0.288633            0.00588099          
44   0.28743             0.00581479          
45   0.286458            0.00576189          
46   0.285406            0.0057064           
47   0.284401            0.00565405          
48   0.283341            0.00560008          
49   0.282009            0.00553389          
50   0.280538            0.00546271          
51   0.279452            0.00541145          
52   0.278394            0.00536254          
53   0.277169            0.00530709          
54   0.275935            0.00525247          
55   0.274729            0.00520012          
56   0.273372            0.00514238          
57   0.27103             0.00504488          
58   0.269801            0.00499441          
59   0.258439            0.00567394          
60   0.257009            0.00560221          
61   0.255303            0.00551915          
62   0.253603            0.00543868          
63   0.249798            0.00526589          
64   0.247534            0.00516725          
65   0.246055            0.00510424          
66   0.244191            0.00502648          
67   0.242658            0.00496377          
68   0.240717            0.00488588          
69   0.239157            0.00482455          
70   0.237448            0.00475847          
71   0.235681            0.00469161          
72   0.234388            0.00464328          
73   0.233172            0.00459864          
74   0.231653            0.00454348          
75   0.220801            0.00476929          
76   0.218871            0.00469471          
77   0.214953            0.00454908          
78   0.213176            0.00448501          
79   0.210333            0.00438478          
80   0.208468            0.00432002          
81   0.206627            0.00425699          
82   0.203789            0.00416117          
83   0.202223            0.00410864          
84   0.200775            0.00406085          
85   0.198713            0.00399316          
86   0.197158            0.00394291          
87   0.194836            0.00386839          
88   0.19345             0.00382454          
89   0.181952            0.00406411          
90   0.17918             0.00397851          
91   0.175934            0.00387965          
92   0.172997            0.0037913           
93   0.170274            0.00371006          
94   0.168072            0.00364412          
95   0.166337            0.00359235          
96   0.164757            0.00354484          
97   0.163087            0.00349495          
98   0.161521            0.00344773          
99   0.160008            0.00340247          
100  0.157014            0.00331432          
101  0.155389            0.00326571          
102  0.143957            0.00342909          
103  0.141668            0.00334512          
104  0.13956             0.00326941          
105  0.136648            0.00316671          
106  0.134536            0.00309357          
107  0.133045            0.00304245          
108  0.131014            0.00297354          
109  0.1295              0.00292236          
110  0.126611            0.0028255           
111  0.122302            0.00268417          
