THPREDICTIONS F2R1000_D  Deuteron
0    -3.08792            125.568             
1    -2.90635            124.266             
2    -2.73401            122.975             
3    -2.5684             121.695             
4    -2.40776            120.427             
5    -2.25384            119.17              
6    -2.09317            117.924             
7    -1.92015            116.689             
8    -1.74075            115.462             
9    -1.56277            114.244             
10   -1.38688            113.032             
11   -1.20747            111.826             
12   -1.02499            110.624             
13   -0.842769           109.421             
14   -0.662122           108.215             
15   -0.483238           107.002             
16   -0.3067             105.78              
17   -0.133463           104.538             
18   0.0355762           103.27              
19   0.198984            101.968             
20   0.355796            100.626             
21   0.503871            99.2267             
22   0.642579            97.7586             
23   0.769687            96.2013             
24   0.882584            94.5348             
25   0.978243            92.7351             
26   1.05248             90.766              
27   1.10288             88.6028             
28   1.12404             86.1996             
29   1.1098              83.5051             
30   1.05878             80.508              
31   0.953729            77.0727             
32   0.792906            73.1931             
33   0.569499            68.8359             
34   0.263575            63.8922             
35   -0.100314           58.6017             
36   -0.511818           53.1353             
37   -0.961572           47.6795             
38   -1.36579            42.8169             
39   -1.71148            38.62               
40   -1.95988            35.1713             
41   -2.08562            32.3539             
42   -2.1039             29.9189             
43   -2.03885            27.6792             
44   -1.89391            25.5368             
45   -1.7164             23.42               
46   -1.50871            21.3147             
47   -1.28716            19.2119             
48   -1.06116            17.1237             
49   -0.821838           15.0338             
50   -0.561679           12.925              
51   -0.289261           10.8297             
52   -0.0132367          8.79097             
53   0.268279            6.87629             
54   0.510177            5.12472             
55   0.701674            3.59478             
56   0.865826            2.46722             
57   1.01726             2.12901             
58   1.12873             2.46889             
59   1.17294             2.6213              
60   1.16356             2.4021              
61   1.11722             1.81793             
62   1.02693             0.755478            
63   0.973764            0.158705            
64   0.964378            0.1017              
65   0.965194            0.0936462           
66   0.965585            0.0880855           
67   0.965558            0.0840972           
68   0.965096            0.081159            
69   0.964249            0.0789133           
70   0.963176            0.0770657           
71   0.961947            0.0754596           
72   0.960444            0.0740714           
73   0.958674            0.0728343           
74   0.956839            0.0717602           
75   0.955009            0.0708321           
76   0.953201            0.0700436           
77   0.951417            0.0693652           
78   0.949781            0.0687611           
79   0.948357            0.0682015           
80   0.947172            0.0676639           
81   0.946217            0.0671256           
82   0.945531            0.0666069           
83   0.945131            0.0661079           
84   0.944965            0.0656176           
85   0.945002            0.065143            
86   0.945151            0.0646596           
87   0.945469            0.0641477           
88   0.946029            0.0636206           
89   0.946894            0.0630751           
90   0.948132            0.0625282           
91   0.949719            0.0620096           
92   0.951638            0.0615125           
93   0.953961            0.0610307           
94   0.956642            0.0605624           
95   0.959675            0.0600906           
96   0.962888            0.0596283           
97   0.966221            0.0591776           
98   0.969543            0.0588112           
99   0.972535            0.0585715           
100  0.976138            0.0584422           
101  0.979287            0.0584836           
102  0.981864            0.0586352           
103  0.984191            0.0588884           
104  0.986461            0.0592089           
105  0.988555            0.0595381           
106  0.990534            0.05984             
107  0.992516            0.0600861           
108  0.994487            0.0602624           
109  0.996436            0.0604391           
110  0.998392            0.0606547           
111  1.00024             0.0609071           
112  1.00194             0.0612098           
113  1.00348             0.0615972           
114  1.00482             0.0620909           
115  1.006               0.0627135           
116  1.00695             0.0634381           
117  1.00771             0.0642603           
118  1.00828             0.0651979           
119  1.00867             0.066307            
120  1.00895             0.0675832           
121  1.00906             0.0689737           
122  1.00899             0.0704415           
123  1.00865             0.0720271           
124  1.0081              0.0736698           
125  1.00739             0.0753811           
126  1.00663             0.0771912           
127  1.00558             0.0791794           
128  1.00413             0.0813533           
129  1.00251             0.0836706           
130  1.00067             0.0861077           
131  0.998496            0.0886118           
132  0.995991            0.0911801           
133  0.993179            0.0938528           
134  0.990321            0.0966037           
135  0.987399            0.0994121           
136  0.984455            0.102273            
137  0.981375            0.105217            
138  0.97812             0.108261            
139  0.974721            0.111408            
140  0.971211            0.114663            
141  0.96761             0.11805             
142  0.96399             0.121567            
143  0.960325            0.125224            
144  0.956759            0.129023            
145  0.953359            0.13297             
146  0.950155            0.137078            
147  0.946883            0.14139             
148  0.94413             0.145869            
149  0.941881            0.150542            
150  0.940043            0.155451            
151  0.938478            0.160619            
152  0.93751             0.166104            
153  0.937053            0.171965            
154  0.937358            0.178258            
155  0.938182            0.185094            
156  0.938455            0.192413            
157  0.938173            0.200133            
158  0.937395            0.20827             
159  0.936117            0.216869            
160  0.934204            0.225887            
161  0.931746            0.235534            
162  0.927926            0.246092            
163  0.922921            0.258089            
164  0.919883            0.271284            
165  0.918532            0.285448            
166  0.919142            0.300453            
167  0.921615            0.316268            
168  0.924765            0.333599            
169  0.928611            0.352558            
170  0.933139            0.373481            
171  0.939211            0.396               
172  0.945007            0.422797            
173  0.950265            0.454783            
174  0.954628            0.493292            
175  0.958593            0.541683            
176  0.960482            0.600321            
177  0.959257            0.672003            
178  0.954196            0.761634            
179  0.944488            0.877053            
180  0.928927            1.02536             
181  0.905754            1.21395             
182  0.872924            1.45715             
183  0.827559            1.77326             
184  0.765914            2.18352             
185  0.681532            2.72362             
186  0.566057            3.43361             
187  0.407342            4.37195             
188  0.19198             5.64098             
189  -0.119277           7.37685             
190  -0.61367            9.8443              
191  -1.67075            14.2871             
192  -1.94288            24.8966             
193  -1.47397            29.918              
194  -4.96668            47.2045             
195  -18.4882            163.647             
196  9.15328             153.696             
197  1.09081             221.595             
198  -155.534            1136.68             
199  51.1533             566.623             
