THPREDICTIONS NMCPD_D  Deuteron
0    0.984582            0.0170184           
1    0.979591            0.00877021          
2    0.982857            0.00826282          
3    0.984527            0.00947906          
4    0.977627            0.00770439          
5    0.979776            0.0060187           
6    0.980925            0.00603398          
7    0.981669            0.00694255          
8    0.970593            0.0069779           
9    0.972461            0.0057575           
10   0.973364            0.00573004          
11   0.973977            0.00625574          
12   0.973976            0.00713334          
13   0.963144            0.00659435          
14   0.965062            0.00519849          
15   0.966109            0.00481722          
16   0.966754            0.00499555          
17   0.9669              0.00561217          
18   0.966406            0.00634784          
19   0.96563             0.00706559          
20   0.958806            0.00502774          
21   0.958227            0.00414043          
22   0.958054            0.00381763          
23   0.957879            0.00366715          
24   0.957584            0.00380784          
25   0.956937            0.00426907          
26   0.955921            0.00497799          
27   0.954487            0.00577157          
28   0.944902            0.00604268          
29   0.94466             0.00470025          
30   0.944408            0.00423983          
31   0.944038            0.0041227           
32   0.943759            0.00425201          
33   0.943207            0.0045062           
34   0.942398            0.00489434          
35   0.941354            0.00541317          
36   0.939846            0.0059986           
37   0.933477            0.00666559          
38   0.933998            0.00537178          
39   0.934114            0.00474012          
40   0.934039            0.0042726           
41   0.933497            0.00397613          
42   0.932904            0.00389046          
43   0.931822            0.00403472          
44   0.930443            0.00444829          
45   0.928737            0.00505388          
46   0.926858            0.00569449          
47   0.922425            0.00705397          
48   0.923798            0.00541268          
49   0.924319            0.00474416          
50   0.924237            0.00446253          
51   0.923729            0.00442949          
52   0.922742            0.00450214          
53   0.921448            0.00464609          
54   0.919511            0.00493274          
55   0.917147            0.00535768          
56   0.914808            0.00590013          
57   0.912735            0.00639862          
58   0.909449            0.00734862          
59   0.91008             0.00614552          
60   0.909881            0.005671            
61   0.909067            0.0052694           
62   0.90735             0.0048205           
63   0.905566            0.00441362          
64   0.903216            0.0041032           
65   0.90069             0.00411048          
66   0.897453            0.00452274          
67   0.89462             0.00521309          
68   0.891753            0.0060313           
69   0.889881            0.00927656          
70   0.887735            0.00740213          
71   0.885851            0.00627022          
72   0.883651            0.00535737          
73   0.88118             0.00473592          
74   0.878576            0.00449407          
75   0.875975            0.00459721          
76   0.873171            0.00506422          
77   0.870324            0.00577845          
78   0.867732            0.00655623          
79   0.865226            0.007348            
80   0.862713            0.0081243           
81   0.868378            0.00875628          
82   0.86585             0.00732429          
83   0.863837            0.00647157          
84   0.861458            0.00569502          
85   0.859077            0.00510091          
86   0.856822            0.00468903          
87   0.85418             0.00443154          
88   0.851719            0.00441975          
89   0.849022            0.00466724          
90   0.847058            0.00511353          
91   0.84496             0.00565116          
92   0.842827            0.00625348          
93   0.846564            0.010871            
94   0.84416             0.008474            
95   0.842035            0.00703306          
96   0.839744            0.00579994          
97   0.837294            0.00488057          
98   0.835147            0.00442713          
99   0.832867            0.00430654          
100  0.830359            0.0045231           
101  0.827869            0.00500797          
102  0.825998            0.00555422          
103  0.824344            0.00613244          
104  0.822468            0.0067432           
105  0.820352            0.00742506          
106  0.81386             0.00933976          
107  0.810679            0.00786854          
108  0.80929             0.00700665          
109  0.806546            0.0062807           
110  0.803983            0.00575451          
111  0.801704            0.00545466          
112  0.799497            0.00531314          
113  0.797218            0.00530911          
114  0.794654            0.00542532          
115  0.792836            0.00561686          
116  0.791151            0.00586327          
117  0.78985             0.00615758          
118  0.787794            0.00658568          
119  0.768539            0.0119766           
120  0.766835            0.0109577           
121  0.764836            0.00988855          
122  0.763739            0.00898794          
123  0.762163            0.00830708          
124  0.76057             0.00772164          
125  0.759094            0.007312            
126  0.757516            0.00707713          
127  0.756156            0.0070416           
128  0.755091            0.00712903          
129  0.754075            0.00731314          
130  0.753159            0.00769315          
131  0.731733            0.0157817           
132  0.730674            0.0138857           
133  0.729612            0.0123472           
134  0.729025            0.011436            
135  0.728929            0.0108772           
136  0.728429            0.0106717           
137  0.727997            0.010794            
138  0.727838            0.011146            
139  0.727507            0.0116396           
140  0.727456            0.012288            
141  0.727489            0.013397            
142  0.718226            0.0322749           
143  0.717452            0.0263444           
144  0.716915            0.0214923           
145  0.716642            0.0180009           
146  0.717579            0.0164864           
147  0.717978            0.0172051           
148  0.71883             0.0191665           
149  0.719923            0.0217284           
150  0.721062            0.02479             
151  0.723461            0.0296768           
