THPREDICTIONS F2R100_D  Deuteron
0    2.88217             7.75578             
1    2.89502             8.01587             
2    2.90911             8.28538             
3    2.92488             8.56834             
4    2.9425              8.86655             
5    2.96221             9.18213             
6    2.98522             9.52676             
7    3.01247             9.90938             
8    3.04379             10.3287             
9    3.07895             10.7829             
10   3.1219              11.3099             
11   3.16516             11.8387             
12   3.21095             12.3904             
13   3.27325             13.1001             
14   3.34612             13.9116             
15   3.45134             15.0366             
16   3.59894             16.5757             
17   3.77231             18.3707             
18   3.94433             20.1566             
19   4.12073             21.9878             
20   4.25078             23.3639             
21   4.33545             24.2919             
22   4.39286             24.9502             
23   4.42966             25.4046             
24   4.45389             25.7326             
25   4.47343             26.0105             
26   4.48844             26.2413             
27   4.50132             26.4492             
28   4.5118              26.6306             
29   4.51944             26.7889             
30   4.52355             26.9187             
31   4.52438             27.0185             
32   4.52178             27.0839             
33   4.5151              27.1088             
34   4.50364             27.0874             
35   4.48579             27.005              
36   4.46083             26.8542             
37   4.42596             26.6084             
38   4.38157             26.2731             
39   4.32383             25.8124             
40   4.25149             25.2148             
41   4.16292             24.4687             
42   4.05093             23.5069             
43   3.89874             22.163              
44   3.7204              20.5791             
45   3.47618             18.3832             
46   3.17656             15.6963             
47   2.85044             12.8177             
48   2.50429             9.86183             
49   2.1814              7.3019              
50   1.92273             5.53685             
51   1.72035             4.46185             
52   1.55473             3.6942              
53   1.42903             3.0352              
54   1.31414             2.2966              
55   1.20236             1.41323             
56   1.11823             0.772301            
57   1.07072             0.493077            
58   1.04423             0.372833            
59   1.02256             0.254895            
60   1.00534             0.122504            
61   0.994996            0.0676126           
62   0.991292            0.0608285           
63   0.988657            0.0576848           
64   0.986599            0.0554296           
65   0.984789            0.0534355           
66   0.983135            0.0515852           
67   0.981627            0.0498853           
68   0.980225            0.0483346           
69   0.97894             0.0469125           
70   0.977851            0.0455946           
71   0.97692             0.0444122           
72   0.976213            0.0433449           
73   0.97575             0.042435            
74   0.975265            0.0416889           
75   0.974755            0.0410107           
76   0.974179            0.0403943           
77   0.973459            0.0398216           
78   0.97289             0.0393658           
79   0.97267             0.039063            
80   0.972646            0.0388882           
81   0.972729            0.0388135           
82   0.972976            0.0388414           
83   0.973389            0.0389446           
84   0.974               0.0391005           
85   0.974872            0.0392957           
86   0.975724            0.0394618           
87   0.976505            0.0395523           
88   0.977343            0.0396038           
89   0.978177            0.039545            
90   0.979073            0.0394814           
91   0.980219            0.0394474           
92   0.981569            0.0393549           
93   0.983081            0.0391938           
94   0.984728            0.0389811           
95   0.986474            0.0387441           
96   0.988052            0.0385049           
97   0.989468            0.0383069           
98   0.990644            0.0380902           
99   0.991374            0.0378253           
100  0.991987            0.0373667           
101  0.991908            0.0368653           
102  0.991242            0.0363511           
103  0.990582            0.0361092           
104  0.990168            0.0362089           
105  0.989813            0.0363346           
106  0.989613            0.0366139           
107  0.989643            0.0365653           
108  0.989967            0.0361064           
109  0.99089             0.0362915           
110  0.992327            0.0371488           
111  0.994029            0.038129            
112  0.995865            0.0390647           
113  0.997726            0.0399878           
114  0.999486            0.040923            
115  1.0012              0.0418748           
116  1.00261             0.0428282           
117  1.00372             0.0437793           
118  1.0046              0.0447396           
119  1.0053              0.0457228           
120  1.00587             0.0467282           
121  1.00638             0.0477675           
122  1.00686             0.048819            
123  1.0073              0.0499128           
124  1.00757             0.0510442           
125  1.00766             0.0521937           
126  1.00769             0.0534125           
127  1.0074              0.0546679           
128  1.00668             0.0559907           
129  1.00577             0.0575077           
130  1.00484             0.0592725           
131  1.00398             0.0611788           
132  1.00319             0.0631686           
133  1.0025              0.0652211           
134  1.00192             0.0674906           
135  1.00144             0.0699467           
136  1.00105             0.0725337           
137  1.00071             0.0753778           
138  1.00033             0.0784805           
139  1.00006             0.0820524           
140  0.999851            0.0860782           
141  0.999262            0.089778            
142  0.998457            0.0933127           
143  0.997252            0.097141            
144  0.996276            0.101226            
145  0.995806            0.105354            
146  0.995668            0.109738            
147  0.994732            0.11024             
148  0.995197            0.115991            
149  0.997081            0.1272              
150  1.00074             0.146566            
151  1.00648             0.177895            
152  1.01068             0.201514            
153  1.01354             0.21682             
154  1.01606             0.234454            
155  1.01821             0.256477            
156  1.018               0.257993            
157  1.01612             0.244142            
158  1.00822             0.181736            
159  0.997248            0.107644            
160  0.996482            0.10613             
161  1.00558             0.159717            
162  1.02374             0.288851            
163  1.05019             0.490497            
164  1.08498             0.776347            
165  1.12591             1.12722             
166  1.181               1.61041             
167  1.26614             2.37183             
168  1.31338             2.81713             
169  1.32384             2.95543             
170  1.29982             2.80526             
171  1.18146             1.87341             
172  1.08119             1.09249             
173  1.00298             0.50396             
174  0.947139            0.218047            
175  0.932943            0.251554            
176  0.934045            0.277797            
177  0.940263            0.30735             
178  0.952497            0.341526            
179  0.972525            0.381657            
180  1.00132             0.431615            
181  1.03861             0.495231            
182  1.08631             0.574338            
183  1.14659             0.671369            
184  1.22504             0.793505            
185  1.32161             0.939072            
186  1.44088             1.11288             
187  1.58876             1.3235              
188  1.77334             1.58208             
189  2.00874             1.91786             
190  2.3245              2.3945              
191  2.7789              3.16846             
192  3.57074             4.95664             
193  7.38395             27.0955             
194  3.37117             12.5049             
195  5.62506             10.7723             
196  11.0131             34.4356             
197  72.0651             601.439             
198  5.85124             191.253             
199  27.9697             233.736             
