THPREDICTIONS NMCPD_D  Deuteron
0    0.986511            0.0157124           
1    0.980968            0.00887567          
2    0.983331            0.00832529          
3    0.984645            0.0103485           
4    0.978005            0.00776369          
5    0.98026             0.00604045          
6    0.981531            0.00670623          
7    0.982444            0.00837168          
8    0.970406            0.00657001          
9    0.972208            0.00522505          
10   0.973078            0.00542098          
11   0.973705            0.00633024          
12   0.973809            0.0076425           
13   0.963985            0.00567741          
14   0.965773            0.00480594          
15   0.966676            0.0046109           
16   0.967188            0.00481332          
17   0.96726             0.00542001          
18   0.966807            0.00627058          
19   0.966171            0.00723851          
20   0.958634            0.00571422          
21   0.958432            0.00449693          
22   0.958349            0.00388238          
23   0.958126            0.00347643          
24   0.957703            0.00350457          
25   0.95699             0.00398628          
26   0.956003            0.00482324          
27   0.954707            0.00588185          
28   0.945458            0.00555932          
29   0.945175            0.00481557          
30   0.944861            0.00448007          
31   0.944398            0.00422344          
32   0.94398             0.00403183          
33   0.943294            0.00398419          
34   0.942372            0.00421655          
35   0.941319            0.00483306          
36   0.939859            0.00573809          
37   0.934881            0.00680825          
38   0.934828            0.00554081          
39   0.934563            0.00488255          
40   0.93417             0.00438612          
41   0.933423            0.00407707          
42   0.932729            0.00396754          
43   0.931628            0.00406235          
44   0.930309            0.00443693          
45   0.928715            0.00507755          
46   0.927079            0.00595642          
47   0.925021            0.00851899          
48   0.925231            0.00648766          
49   0.925041            0.00545583          
50   0.924384            0.00476922          
51   0.923544            0.00439256          
52   0.922436            0.00421421          
53   0.921194            0.00416841          
54   0.919437            0.00435438          
55   0.917352            0.00482733          
56   0.915375            0.00556603          
57   0.913635            0.00636558          
58   0.909693            0.00822423          
59   0.90951             0.00703703          
60   0.909001            0.00651937          
61   0.908066            0.0060338           
62   0.906454            0.00549599          
63   0.904926            0.00499949          
64   0.902971            0.00451514          
65   0.900934            0.00430457          
66   0.898235            0.00461005          
67   0.895913            0.00534393          
68   0.893547            0.0063699           
69   0.888679            0.00981089          
70   0.886248            0.00807298          
71   0.884468            0.00697729          
72   0.882602            0.00595337          
73   0.880634            0.0050798           
74   0.878524            0.00467345          
75   0.876473            0.00475142          
76   0.874209            0.0053229           
77   0.871861            0.00625279          
78   0.869653            0.00724993          
79   0.867473            0.00829124          
80   0.86524             0.00937328          
81   0.868341            0.00807086          
82   0.865193            0.00664348          
83   0.863005            0.00616139          
84   0.860733            0.0057985           
85   0.858718            0.00545047          
86   0.856904            0.00523798          
87   0.854753            0.0052741           
88   0.852743            0.00564386          
89   0.850416            0.00625814          
90   0.848642            0.00693033          
91   0.846638            0.00764167          
92   0.844524            0.00841845          
93   0.848676            0.0120471           
94   0.845021            0.0090212           
95   0.84227             0.00755134          
96   0.839583            0.00643199          
97   0.837052            0.00551274          
98   0.83504             0.00494631          
99   0.833049            0.00473155          
100  0.830838            0.00503687          
101  0.828603            0.00575279          
102  0.826771            0.00646061          
103  0.825027            0.00717556          
104  0.822932            0.0079402           
105  0.82043             0.00889411          
106  0.816303            0.0137771           
107  0.811964            0.0107087           
108  0.809848            0.00915645          
109  0.806507            0.00795639          
110  0.803555            0.00705277          
111  0.801109            0.006436            
112  0.798895            0.0060307           
113  0.796687            0.00595307          
114  0.794196            0.00622644          
115  0.792271            0.00655226          
116  0.790327            0.00701452          
117  0.788561            0.00768281          
118  0.785576            0.00906463          
119  0.77128             0.0155027           
120  0.770039            0.0130758           
121  0.768046            0.0113721           
122  0.76657             0.0101242           
123  0.764491            0.00910022          
124  0.762194            0.00808396          
125  0.759887            0.00743903          
126  0.757298            0.00744467          
127  0.754825            0.00779146          
128  0.752542            0.00848581          
129  0.750057            0.00983737          
130  0.746598            0.0131394           
131  0.739578            0.0225518           
132  0.739855            0.0176482           
133  0.738398            0.0148892           
134  0.736418            0.0134652           
135  0.734016            0.012126            
136  0.730638            0.0111309           
137  0.726874            0.0110606           
138  0.723475            0.0120008           
139  0.719893            0.0136441           
140  0.716336            0.0163657           
141  0.710953            0.023191            
142  0.72947             0.0375791           
143  0.73227             0.0277004           
144  0.732111            0.0253932           
145  0.728783            0.0226538           
146  0.724406            0.0195338           
147  0.719502            0.0186524           
148  0.71414             0.0200847           
149  0.709678            0.0239248           
150  0.70545             0.0299511           
151  0.701365            0.0466968           
