THPREDICTIONS F2R10_D  Deuteron
0    -24.2226            231.463             
1    -23.7485            227.091             
2    -23.2743            222.712             
3    -22.7991            218.322             
4    -22.3256            213.928             
5    -21.8546            209.53              
6    -21.3814            205.123             
7    -20.9052            200.705             
8    -20.4268            196.275             
9    -19.9473            191.831             
10   -19.4665            187.374             
11   -18.9918            182.906             
12   -18.5227            178.428             
13   -18.0557            173.93              
14   -17.5897            169.413             
15   -17.125             164.874             
16   -16.662             160.317             
17   -16.1994            155.742             
18   -15.7345            151.146             
19   -15.2673            146.528             
20   -14.7941            141.889             
21   -14.3145            137.222             
22   -13.8272            132.524             
23   -13.332             127.795             
24   -12.8295            123.034             
25   -12.3196            118.239             
26   -11.8022            113.404             
27   -11.2782            108.529             
28   -10.7468            103.613             
29   -10.2098            98.6592             
30   -9.66621            93.663              
31   -9.11461            88.6069             
32   -8.55548            83.4889             
33   -7.98717            78.3133             
34   -7.40605            73.0832             
35   -6.8117             67.7961             
36   -6.21001            62.4544             
37   -5.5922             57.0675             
38   -4.97732            51.6159             
39   -4.37372            46.1034             
40   -3.74418            40.5559             
41   -3.06711            34.997              
42   -2.35272            29.4704             
43   -1.59834            24.0557             
44   -0.798898           18.9955             
45   -0.0480924          14.5447             
46   0.649637            11.385              
47   1.32183             10.8898             
48   1.97223             13.2478             
49   2.61177             17.2527             
50   3.2444              22.0667             
51   3.85131             27.1435             
52   4.46618             32.1742             
53   5.14454             37.5561             
54   5.59192             41.292              
55   5.7419              42.342              
56   5.92906             44.5689             
57   6.0692              48.0703             
58   6.33948             52.3413             
59   7.13036             58.4511             
60   8.33081             66.2376             
61   7.19044             54.888              
62   3.53752             22.6694             
63   1.37193             3.65906             
64   0.95045             0.446003            
65   0.95303             0.431687            
66   0.97277             0.260848            
67   0.992746            0.0857225           
68   1.00052             0.026049            
69   1.00042             0.0236477           
70   1.00031             0.0216536           
71   1.00025             0.0194457           
72   0.999701            0.0185112           
73   0.998668            0.0177195           
74   0.997663            0.0169932           
75   0.996709            0.0164116           
76   0.995759            0.0158884           
77   0.994881            0.0155364           
78   0.99381             0.0152099           
79   0.992417            0.0148614           
80   0.991124            0.0156616           
81   0.99024             0.0159404           
82   0.98982             0.0155217           
83   0.98996             0.0144861           
84   0.99069             0.0137377           
85   0.991561            0.0138258           
86   0.992082            0.0141239           
87   0.992181            0.0141041           
88   0.99192             0.0137648           
89   0.991675            0.0132788           
90   0.991559            0.0140535           
91   0.991623            0.015102            
92   0.991932            0.0155294           
93   0.992935            0.0151409           
94   0.99401             0.0149544           
95   0.994857            0.0153824           
96   0.996101            0.0156852           
97   0.997855            0.0147539           
98   0.99944             0.0145873           
99   1.00034             0.0140964           
100  1.00116             0.0135744           
101  1.00193             0.0134449           
102  1.00204             0.0132936           
103  1.00142             0.0130638           
104  1.00129             0.0129805           
105  1.00098             0.0131175           
106  1.0005              0.0137426           
107  0.999597            0.0133625           
108  0.998801            0.0128111           
109  0.998488            0.0131468           
110  0.998611            0.0135908           
111  0.999319            0.0139652           
112  1.00052             0.0142062           
113  1.0021              0.0145562           
114  1.00379             0.0150691           
115  1.00555             0.0159059           
116  1.00696             0.016467            
117  1.00805             0.016578            
118  1.00875             0.0164096           
119  1.00911             0.0163488           
120  1.00928             0.0167351           
121  1.0094              0.0173487           
122  1.00956             0.0175061           
123  1.00974             0.0171694           
124  1.00983             0.0166827           
125  1.00989             0.0163087           
126  1.01007             0.0164127           
127  1.0098              0.0165577           
128  1.00887             0.0162707           
129  1.00779             0.0167712           
130  1.00675             0.0177491           
131  1.00571             0.0185071           
132  1.00468             0.0191403           
133  1.00364             0.0201749           
134  1.00278             0.0217695           
135  1.00223             0.0230486           
136  1.00226             0.0241508           
137  1.0023              0.0242927           
138  1.00205             0.0235649           
139  1.00155             0.0224226           
140  1.00077             0.0219719           
141  0.999721            0.0230482           
142  0.998514            0.0253348           
143  0.997234            0.0290465           
144  0.995999            0.0326527           
145  0.994924            0.0352394           
146  0.993663            0.0367429           
147  0.991907            0.0375387           
148  0.990438            0.0376818           
149  0.989665            0.0370187           
150  0.989431            0.0357797           
151  0.989421            0.03456             
152  0.990354            0.0330884           
153  0.992186            0.0329472           
154  0.99494             0.0373396           
155  0.998393            0.0477192           
156  1.00202             0.0600826           
157  1.00572             0.0726791           
158  1.01                0.0890711           
159  1.01457             0.107133            
160  1.01748             0.114897            
161  1.0188              0.113642            
162  1.01862             0.101264            
163  1.01738             0.0847214           
164  1.01714             0.0768406           
165  1.01802             0.0738016           
166  1.02027             0.0731243           
167  1.02177             0.0759775           
168  1.0237              0.0861512           
169  1.02601             0.0990954           
170  1.02871             0.113178            
171  1.03257             0.126781            
172  1.03687             0.147726            
173  1.04174             0.176385            
174  1.04666             0.213012            
175  1.0513              0.25785             
176  1.05589             0.311849            
177  1.06112             0.376316            
178  1.06734             0.452559            
179  1.07467             0.542535            
180  1.08336             0.648463            
181  1.09393             0.773284            
182  1.10717             0.922094            
183  1.12387             1.10196             
184  1.14633             1.3232              
185  1.17497             1.59666             
186  1.21199             1.94163             
187  1.26194             2.38804             
188  1.33091             2.97489             
189  1.42434             3.7582              
190  1.56104             4.84838             
191  1.68763             6.0742              
192  1.69433             7.26555             
193  1.78516             9.36916             
194  0.946166            15.3981             
195  2.05628             18.7679             
196  2.7073              25.1622             
197  -1.18762            65.7001             
198  20.9996             102.048             
199  26.6121             127.225             
