THPREDICTIONS NMCPD_D  Deuteron
0    0.984601            0.0161303           
1    0.981307            0.00865476          
2    0.983501            0.00761096          
3    0.984903            0.00946791          
4    0.978354            0.00776734          
5    0.980106            0.00595529          
6    0.981262            0.00603652          
7    0.982316            0.00721679          
8    0.970345            0.00630161          
9    0.972189            0.00547898          
10   0.973177            0.00566541          
11   0.974047            0.00643784          
12   0.974583            0.00763781          
13   0.963567            0.00606105          
14   0.96524             0.0050932           
15   0.966153            0.00481171          
16   0.966815            0.00489459          
17   0.967216            0.00533803          
18   0.967284            0.00601478          
19   0.967311            0.0068371           
20   0.958673            0.00538388          
21   0.958148            0.00456794          
22   0.957859            0.00423635          
23   0.95751             0.00401566          
24   0.957157            0.00394671          
25   0.956769            0.00413499          
26   0.95638             0.00464927          
27   0.955932            0.00548208          
28   0.946428            0.00717326          
29   0.945362            0.00622056          
30   0.944618            0.00571556          
31   0.943866            0.00529363          
32   0.943364            0.00499248          
33   0.942829            0.00488884          
34   0.942326            0.00503805          
35   0.941983            0.00550378          
36   0.941409            0.00622935          
37   0.934891            0.00737311          
38   0.934193            0.00585113          
39   0.933564            0.00505556          
40   0.932918            0.00446424          
41   0.932113            0.00409532          
42   0.931567            0.00395313          
43   0.930848            0.00404156          
44   0.930156            0.00443055          
45   0.929334            0.00506915          
46   0.928703            0.00595512          
47   0.926045            0.00736918          
48   0.925249            0.00551018          
49   0.92447             0.00469803          
50   0.923357            0.00420955          
51   0.92228             0.00389907          
52   0.921178            0.00369232          
53   0.920183            0.00361093          
54   0.918928            0.00383821          
55   0.917529            0.00444027          
56   0.916446            0.00535722          
57   0.915553            0.00631756          
58   0.912191            0.00739239          
59   0.910604            0.006056            
60   0.909309            0.00554825          
61   0.907765            0.00515983          
62   0.905806            0.00471745          
63   0.904195            0.00427133          
64   0.902378            0.00388128          
65   0.900714            0.0039031           
66   0.898556            0.0045264           
67   0.896945            0.00556459          
68   0.895388            0.00682855          
69   0.890507            0.00841315          
70   0.887213            0.00680418          
71   0.884887            0.00595583          
72   0.882553            0.00529466          
73   0.880277            0.0048258           
74   0.878071            0.00463418          
75   0.876097            0.00473531          
76   0.874076            0.00521312          
77   0.872091            0.00602543          
78   0.870369            0.00697967          
79   0.868755            0.00802809          
80   0.867154            0.00914907          
81   0.868961            0.00823279          
82   0.865247            0.00623934          
83   0.862771            0.00551824          
84   0.86025             0.00507784          
85   0.858036            0.00476135          
86   0.856111            0.00456452          
87   0.853964            0.00452578          
88   0.852093            0.00472588          
89   0.850003            0.00515848          
90   0.848547            0.00573765          
91   0.846918            0.00643034          
92   0.845245            0.00725387          
93   0.849336            0.0114767           
94   0.845207            0.00820761          
95   0.842252            0.00693212          
96   0.839445            0.00617707          
97   0.836834            0.00559026          
98   0.834754            0.00512927          
99   0.832692            0.00477759          
100  0.830478            0.00476326          
101  0.828302            0.0051368           
102  0.826609            0.00564397          
103  0.825051            0.0062545           
104  0.823199            0.00700728          
105  0.821031            0.00805024          
106  0.816888            0.0119966           
107  0.812499            0.00912094          
108  0.810264            0.00792288          
109  0.80679             0.00722013          
110  0.80377             0.00662705          
111  0.801289            0.00605113          
112  0.799035            0.00558104          
113  0.796761            0.00549761          
114  0.794201            0.00598564          
115  0.792254            0.00667744          
116  0.790318            0.00744938          
117  0.788594            0.00829456          
118  0.785726            0.0096501           
119  0.772892            0.013607            
120  0.771338            0.0117121           
121  0.768888            0.0102962           
122  0.766883            0.00937355          
123  0.764392            0.00866885          
124  0.761791            0.00795881          
125  0.759297            0.00751448          
126  0.756599            0.00758126          
127  0.75414             0.00802993          
128  0.75194             0.00882656          
129  0.749584            0.00998576          
130  0.746375            0.0124708           
131  0.739161            0.0206285           
132  0.739622            0.0175257           
133  0.738244            0.0156996           
134  0.736176            0.0145783           
135  0.733588            0.0133351           
136  0.730109            0.0124198           
137  0.726351            0.0125864           
138  0.723139            0.0137024           
139  0.719898            0.015574            
140  0.716836            0.0182326           
141  0.712281            0.0235733           
142  0.733378            0.034167            
143  0.735944            0.027635            
144  0.73526             0.024504            
145  0.73083             0.0209151           
146  0.724922            0.0175902           
147  0.718077            0.0172869           
148  0.711423            0.0186727           
149  0.705934            0.0235124           
150  0.70125             0.032171            
151  0.697559            0.0520286           
