THPREDICTIONS F2R100_D  Deuteron
0    1.08859             5.13809             
1    1.0933              5.04944             
2    1.09802             4.96071             
3    1.10276             4.87186             
4    1.10752             4.78292             
5    1.11232             4.69387             
6    1.11716             4.60467             
7    1.12201             4.51532             
8    1.12691             4.42576             
9    1.13185             4.33598             
10   1.13683             4.24598             
11   1.14188             4.15576             
12   1.14699             4.06528             
13   1.15206             3.9744              
14   1.1571              3.88315             
15   1.16209             3.79154             
16   1.16703             3.69957             
17   1.1719              3.60717             
18   1.17674             3.51424             
19   1.18153             3.42088             
20   1.18631             3.32707             
21   1.19107             3.23278             
22   1.19577             3.13798             
23   1.20041             3.04271             
24   1.20501             2.947               
25   1.20956             2.85086             
26   1.21406             2.75437             
27   1.21847             2.65756             
28   1.22279             2.56057             
29   1.22701             2.46347             
30   1.23111             2.36646             
31   1.23503             2.26966             
32   1.23882             2.17343             
33   1.24251             2.0782              
34   1.24606             1.98444             
35   1.24927             1.89242             
36   1.25271             1.80299             
37   1.25607             1.71657             
38   1.25923             1.63362             
39   1.26204             1.55385             
40   1.26379             1.47821             
41   1.26372             1.40649             
42   1.26161             1.33639             
43   1.25757             1.26351             
44   1.25125             1.19234             
45   1.24269             1.11262             
46   1.23284             1.03348             
47   1.21813             0.957598            
48   1.19866             0.882681            
49   1.1756              0.804673            
50   1.14933             0.717171            
51   1.12097             0.637479            
52   1.10309             0.583176            
53   1.09535             0.529783            
54   1.08786             0.484044            
55   1.08018             0.447656            
56   1.07063             0.405257            
57   1.05907             0.356291            
58   1.04649             0.295939            
59   1.03359             0.212951            
60   1.02088             0.121114            
61   1.01312             0.0826497           
62   1.01004             0.0734186           
63   1.00807             0.0684571           
64   1.00685             0.0637388           
65   1.00583             0.0592953           
66   1.00483             0.0553818           
67   1.00383             0.0519742           
68   1.00279             0.0490258           
69   1.0017              0.0464598           
70   1.0006              0.0441929           
71   0.999476            0.0421646           
72   0.998398            0.0402738           
73   0.997384            0.0384779           
74   0.996357            0.0367774           
75   0.995338            0.0351477           
76   0.994238            0.0336556           
77   0.992954            0.0323339           
78   0.991814            0.0310595           
79   0.991031            0.0297621           
80   0.990429            0.0284491           
81   0.9899              0.0271285           
82   0.9895              0.0258978           
83   0.989229            0.02479             
84   0.989122            0.0237894           
85   0.989231            0.0228963           
86   0.989292            0.0220467           
87   0.989267            0.0212302           
88   0.989284            0.0204782           
89   0.989452            0.0198489           
90   0.989803            0.0193031           
91   0.990307            0.0188158           
92   0.990945            0.0183898           
93   0.991715            0.017973            
94   0.992618            0.0175342           
95   0.993642            0.0170923           
96   0.994548            0.0166764           
97   0.995371            0.0162565           
98   0.99607             0.0158638           
99   0.996457            0.0155668           
100  0.996837            0.0154508           
101  0.996668            0.0155557           
102  0.996043            0.0157425           
103  0.99544             0.0158998           
104  0.995053            0.0160752           
105  0.994573            0.016291            
106  0.994099            0.016468            
107  0.993735            0.0165931           
108  0.993592            0.0168317           
109  0.993931            0.0168809           
110  0.994674            0.016667            
111  0.995681            0.0163192           
112  0.996853            0.0159335           
113  0.998074            0.0155883           
114  0.999208            0.01534             
115  1.00031             0.0152524           
116  1.00111             0.0152007           
117  1.00165             0.0151865           
118  1.00197             0.015256            
119  1.0021              0.0154398           
120  1.00214             0.0157683           
121  1.00207             0.0162056           
122  1.00193             0.0165949           
123  1.00168             0.0169046           
124  1.00128             0.0172581           
125  1.00074             0.0177061           
126  1.00014             0.0182131           
127  0.999297            0.0187228           
128  0.998157            0.0192407           
129  0.996948            0.0198754           
130  0.995746            0.0205895           
131  0.994525            0.0213082           
132  0.993279            0.0220166           
133  0.992072            0.0226996           
134  0.990822            0.0231607           
135  0.989533            0.0233836           
136  0.988254            0.0235102           
137  0.986867            0.0234796           
138  0.985308            0.0234509           
139  0.983603            0.0236144           
140  0.981769            0.02417             
141  0.979835            0.0251368           
142  0.977884            0.0264007           
143  0.975898            0.0279025           
144  0.974019            0.0294817           
145  0.972323            0.0309562           
146  0.970626            0.0322608           
147  0.96878             0.0333819           
148  0.967101            0.0344658           
149  0.965792            0.0355956           
150  0.964764            0.0370645           
151  0.963797            0.0392611           
152  0.963285            0.0413485           
153  0.963211            0.043454            
154  0.96361             0.0458812           
155  0.964325            0.0491448           
156  0.965043            0.0531854           
157  0.965705            0.0576811           
158  0.966558            0.0631546           
159  0.967433            0.0696345           
160  0.96743             0.0735223           
161  0.966563            0.0747222           
162  0.96472             0.0735288           
163  0.96213             0.0739078           
164  0.960093            0.0780897           
165  0.958405            0.084363            
166  0.957388            0.0924278           
167  0.956336            0.102655            
168  0.955638            0.119278            
169  0.955772            0.144865            
170  0.957355            0.18265             
171  0.960457            0.235035            
172  0.96692             0.306916            
173  0.977737            0.402359            
174  0.99378             0.526068            
175  1.01592             0.684426            
176  1.04623             0.882823            
177  1.08697             1.12798             
178  1.14049             1.42889             
179  1.20958             1.79796             
180  1.29757             2.24725             
181  1.40835             2.78761             
182  1.54699             3.43921             
183  1.71962             4.22688             
184  1.93635             5.18618             
185  2.20565             6.35635             
186  2.54243             7.79256             
187  2.97012             9.56664             
188  3.51952             11.7797             
189  4.22908             14.5916             
190  5.16461             18.242              
191  6.44888             23.1566             
192  8.65597             31.074              
193  11.6508             61.9892             
194  12.1422             54.3454             
195  14.6774             79.0435             
196  -2.32628            277.58              
197  -1331.82            13738.5             
198  120.831             610.02              
199  633.277             4818.55             
