THPREDICTIONS NMCPD_D  Deuteron
0    0.983375            0.0228802           
1    0.980797            0.00910083          
2    0.982867            0.00823293          
3    0.984222            0.00968384          
4    0.97877             0.00809333          
5    0.980372            0.00627826          
6    0.981387            0.00642554          
7    0.982332            0.0076408           
8    0.972608            0.00717636          
9    0.973855            0.00580927          
10   0.974404            0.00560828          
11   0.974842            0.00609045          
12   0.97502             0.00709482          
13   0.964667            0.00672479          
14   0.965895            0.00527557          
15   0.9665              0.0047107           
16   0.966866            0.00470888          
17   0.967018            0.0052586           
18   0.966937            0.006047            
19   0.966911            0.00688181          
20   0.960372            0.00605135          
21   0.958692            0.00465684          
22   0.957781            0.00413309          
23   0.956976            0.00399285          
24   0.956359            0.00421198          
25   0.955864            0.00460652          
26   0.955487            0.00512026          
27   0.955145            0.00571189          
28   0.946237            0.0062792           
29   0.944202            0.00514863          
30   0.942977            0.00469381          
31   0.941944            0.00442221          
32   0.941428            0.00428662          
33   0.941081            0.0042982           
34   0.940926            0.00448958          
35   0.941023            0.004869            
36   0.94093             0.00541932          
37   0.935793            0.00648237          
38   0.934668            0.00529684          
39   0.933825            0.004747            
40   0.933052            0.00440815          
41   0.932253            0.00424765          
42   0.931826            0.00423488          
43   0.931338            0.00436022          
44   0.930956            0.00463328          
45   0.930473            0.00503293          
46   0.930152            0.00546701          
47   0.926131            0.00736824          
48   0.925387            0.00563348          
49   0.924694            0.00489671          
50   0.923668            0.004531            
51   0.922678            0.00439462          
52   0.921677            0.00438281          
53   0.920809            0.00444976          
54   0.919703            0.00464195          
55   0.918437            0.00497638          
56   0.917484            0.0054046           
57   0.916688            0.00586792          
58   0.911791            0.00713183          
59   0.910782            0.00589431          
60   0.909743            0.00562967          
61   0.908348            0.00544179          
62   0.90642             0.00512039          
63   0.904742            0.00478117          
64   0.902804            0.00442384          
65   0.900993            0.00429154          
66   0.898652            0.00458734          
67   0.896875            0.0051992           
68   0.895149            0.0060348           
69   0.890956            0.00883542          
70   0.887576            0.0073282           
71   0.88515             0.00635357          
72   0.882667            0.00544878          
73   0.880131            0.0047834           
74   0.877642            0.00451126          
75   0.875338            0.00474088          
76   0.872974            0.00551987          
77   0.870659            0.00667443          
78   0.868654            0.00786763          
79   0.866765            0.00905745          
80   0.864895            0.0102308           
81   0.869721            0.00858091          
82   0.866109            0.00694216          
83   0.863512            0.00631711          
84   0.860746            0.00578778          
85   0.858293            0.00523746          
86   0.856108            0.00502788          
87   0.853629            0.00534744          
88   0.851399            0.00616069          
89   0.848973            0.00728378          
90   0.84724             0.00833873          
91   0.845357            0.00932232          
92   0.843423            0.0102564           
93   0.851578            0.0117165           
94   0.847307            0.00921853          
95   0.844142            0.00784937          
96   0.840985            0.00676815          
97   0.837863            0.00590982          
98   0.835367            0.00534128          
99   0.832908            0.00539269          
100  0.830295            0.00625757          
101  0.827717            0.0076155           
102  0.825715            0.00885669          
103  0.823907            0.0100056           
104  0.821823            0.0110747           
105  0.819395            0.0120971           
106  0.816876            0.0102972           
107  0.812657            0.00813094          
108  0.810628            0.0071221           
109  0.807322            0.00642617          
110  0.804323            0.0060798           
111  0.801711            0.00609002          
112  0.79919             0.00624869          
113  0.796631            0.00642495          
114  0.793825            0.00676184          
115  0.791667            0.00736486          
116  0.789562            0.00826868          
117  0.787709            0.00941501          
118  0.784709            0.0111809           
119  0.773442            0.0130273           
120  0.771426            0.0110719           
121  0.768826            0.00948925          
122  0.766959            0.00848794          
123  0.764595            0.00793378          
124  0.76204             0.00758337          
125  0.759473            0.00742845          
126  0.756578            0.00760571          
127  0.753877            0.00829729          
128  0.751399            0.00941801          
129  0.748809            0.0109383           
130  0.7454              0.0137157           
131  0.737733            0.0239489           
132  0.737788            0.018972            
133  0.736782            0.0154518           
134  0.73552             0.0133984           
135  0.734076            0.0118925           
136  0.731716            0.0111246           
137  0.729046            0.0114095           
138  0.726485            0.0126248           
139  0.723648            0.0147729           
140  0.720784            0.0180458           
141  0.716358            0.0242417           
142  0.73292             0.0347418           
143  0.732063            0.0278002           
144  0.729971            0.0238365           
145  0.726301            0.0207061           
146  0.722587            0.0187191           
147  0.718243            0.0180339           
148  0.713687            0.0197734           
149  0.709563            0.023892            
150  0.705319            0.0310329           
151  0.700138            0.047513            
