THPREDICTIONS F2R1_D  Deuteron
0    3.26574             21.737              
1    3.26231             21.8073             
2    3.26729             21.879              
3    3.27581             21.9519             
4    3.28783             22.0254             
5    3.30255             22.0995             
6    3.31688             22.175              
7    3.32987             22.2517             
8    3.34231             22.3297             
9    3.35469             22.4088             
10   3.36713             22.4888             
11   3.37995             22.5701             
12   3.39273             22.6524             
13   3.40586             22.7355             
14   3.42007             22.8195             
15   3.43369             22.9042             
16   3.44523             22.9897             
17   3.45607             23.0762             
18   3.47057             23.163              
19   3.48897             23.25               
20   3.50614             23.3372             
21   3.52136             23.4248             
22   3.53241             23.5128             
23   3.54084             23.6008             
24   3.55098             23.688              
25   3.56457             23.7743             
26   3.57949             23.8593             
27   3.59362             23.9431             
28   3.60681             24.0256             
29   3.61988             24.1058             
30   3.63319             24.1826             
31   3.64514             24.256              
32   3.65507             24.3263             
33   3.66378             24.3924             
34   3.67261             24.4535             
35   3.68122             24.509              
36   3.68918             24.5579             
37   3.69671             24.5978             
38   3.70333             24.6286             
39   3.70707             24.6508             
40   3.70776             24.6632             
41   3.70903             24.6625             
42   3.7103              24.647              
43   3.7072              24.6172             
44   3.69586             24.5701             
45   3.68949             24.5031             
46   3.69063             24.4131             
47   3.67986             24.2983             
48   3.65286             24.154              
49   3.61393             23.9781             
50   3.58107             23.8928             
51   3.57521             24.0694             
52   3.4791              23.2977             
53   2.89048             17.9113             
54   3.12728             20.0113             
55   5.43519             40.8633             
56   5.59844             42.3785             
57   0.907748            0.744567            
58   -2.75404            33.7211             
59   0.850447            1.34716             
60   9.72233             79.2816             
61   11.1551             91.9632             
62   5.23691             38.4678             
63   1.64572             6.10361             
64   0.980432            0.209026            
65   0.989578            0.197469            
66   0.992673            0.187338            
67   0.993953            0.178913            
68   0.997574            0.162275            
69   1.00026             0.14818             
70   0.993817            0.121237            
71   0.978593            0.0922324           
72   0.972003            0.085795            
73   0.972202            0.071242            
74   0.972307            0.0627238           
75   0.97257             0.0556191           
76   0.973683            0.0540082           
77   0.974315            0.0541241           
78   0.973823            0.052522            
79   0.972065            0.0488148           
80   0.970931            0.0518434           
81   0.971507            0.0499767           
82   0.97079             0.0511918           
83   0.967749            0.0484293           
84   0.965687            0.0453498           
85   0.96625             0.0443081           
86   0.973606            0.0447668           
87   0.98434             0.0500717           
88   0.991774            0.0492269           
89   0.998678            0.0454215           
90   1.00533             0.0452588           
91   1.01142             0.0465477           
92   1.01623             0.0503317           
93   1.01994             0.0481117           
94   1.02452             0.0609536           
95   1.02006             0.0559029           
96   1.00959             0.065786            
97   1.00927             0.0517743           
98   1.01082             0.0453994           
99   1.0088              0.0486801           
100  1.00338             0.0538764           
101  0.996612            0.0605909           
102  0.988427            0.0647927           
103  0.983361            0.0708446           
104  0.972658            0.0912503           
105  0.978152            0.0860406           
106  0.996734            0.0747338           
107  1.00499             0.0752475           
108  1.00826             0.0728198           
109  1.00891             0.0701408           
110  1.00751             0.0735955           
111  1.00761             0.0758687           
112  1.00958             0.0635444           
113  1.01434             0.0762519           
114  1.02002             0.0760144           
115  1.02468             0.0838832           
116  1.03001             0.101003            
117  1.03592             0.0899529           
118  1.04016             0.074215            
119  1.04323             0.0738175           
120  1.04697             0.113152            
121  1.04881             0.160014            
122  1.04788             0.146641            
123  1.03805             0.0867184           
124  1.02862             0.126464            
125  1.02861             0.143718            
126  1.0431              0.143178            
127  1.05638             0.185541            
128  1.05802             0.164871            
129  1.05037             0.0768583           
130  1.03866             0.137588            
131  1.03157             0.203716            
132  1.03038             0.220864            
133  1.03178             0.201168            
134  1.02789             0.171952            
135  1.0247              0.144344            
136  1.01891             0.164405            
137  1.01872             0.201882            
138  1.02302             0.200813            
139  1.03221             0.172826            
140  1.04388             0.235816            
141  1.04818             0.264626            
142  1.04606             0.227333            
143  1.04424             0.142388            
144  1.03472             0.246137            
145  1.01674             0.280822            
146  0.994027            0.26024             
147  0.947539            0.363883            
148  0.92163             0.51403             
149  0.91291             0.548759            
150  0.923358            0.441395            
151  0.955368            0.230185            
152  0.977235            0.226454            
153  0.990877            0.278112            
154  0.992212            0.270351            
155  0.984289            0.240878            
156  0.983717            0.238161            
157  0.988889            0.234249            
158  1.00821             0.250643            
159  1.03532             0.363592            
160  1.04335             0.391371            
161  1.03816             0.34128             
162  1.0095              0.287849            
163  0.963878            0.540152            
164  0.94909             0.70309             
165  0.957954            0.730369            
166  1.00584             0.579836            
167  1.13751             0.810105            
168  1.23172             1.30138             
169  1.26873             1.47436             
170  1.23426             1.2672              
171  1.03747             1.32376             
172  0.876364            2.50862             
173  0.750854            3.11055             
174  0.658095            3.15508             
175  0.560635            2.82723             
176  0.533186            3.74587             
177  0.57267             4.20515             
178  0.656517            4.03562             
179  0.855207            3.28499             
180  1.1252              5.11188             
181  1.28722             7.02884             
182  1.34635             7.76859             
183  1.31154             7.29652             
184  0.994233            3.60405             
185  0.758569            2.19529             
186  0.610674            3.57877             
187  0.543119            4.98086             
188  0.645639            5.29028             
189  0.863604            5.16644             
190  0.556196            5.94756             
191  0.83546             5.18531             
192  0.816573            5.43923             
193  0.590908            5.8221              
194  0.245755            7.37933             
195  -0.499205           11.4103             
196  0.637432            21.012              
197  -28.7212            204.633             
198  3.10175             39.0603             
199  0.659255            42.0086             
