THPREDICTIONS NMCPD_D  Deuteron
0    0.984761            0.0176223           
1    0.980463            0.00942252          
2    0.981812            0.00914053          
3    0.982502            0.0119712           
4    0.979446            0.00822943          
5    0.980306            0.00671343          
6    0.980659            0.00777078          
7    0.980869            0.00980353          
8    0.973683            0.0071702           
9    0.973868            0.00576743          
10   0.973737            0.00608356          
11   0.973508            0.00723668          
12   0.973043            0.00881403          
13   0.96506             0.00771489          
14   0.965632            0.00631733          
15   0.965886            0.00589805          
16   0.965976            0.00599624          
17   0.965922            0.00659823          
18   0.96567             0.00746379          
19   0.965478            0.00841852          
20   0.961654            0.0071156           
21   0.959154            0.005891            
22   0.957913            0.0053246           
23   0.956971            0.0049321           
24   0.956372            0.00486301          
25   0.955922            0.00521489          
26   0.95557             0.00595999          
27   0.955209            0.00697024          
28   0.947462            0.00733307          
29   0.945114            0.00645921          
30   0.94369             0.00604765          
31   0.942495            0.00566137          
32   0.941919            0.005263            
33   0.941577            0.0050461           
34   0.941448            0.00522057          
35   0.941515            0.00594435          
36   0.941358            0.00708191          
37   0.935416            0.00717054          
38   0.934902            0.00587674          
39   0.934365            0.0051884           
40   0.933749            0.00463901          
41   0.932933            0.00426978          
42   0.932408            0.00422223          
43   0.931757            0.00460635          
44   0.931166            0.00546939          
45   0.93044             0.00666198          
46   0.929791            0.00796517          
47   0.924646            0.0080706           
48   0.92527             0.00635451          
49   0.925365            0.00545938          
50   0.924881            0.00491989          
51   0.924044            0.0047433           
52   0.922919            0.00481803          
53   0.921698            0.00513914          
54   0.920096            0.00577481          
55   0.918244            0.00667786          
56   0.916681            0.00778044          
57   0.915367            0.00884685          
58   0.911656            0.00814798          
59   0.911322            0.00692672          
60   0.910567            0.00651889          
61   0.909315            0.00600485          
62   0.907241            0.00537019          
63   0.90518             0.00497393          
64   0.902606            0.00489353          
65   0.899979            0.00532466          
66   0.896737            0.00625501          
67   0.894125            0.00747786          
68   0.891592            0.00888766          
69   0.894826            0.0114566           
70   0.890816            0.00888507          
71   0.887639            0.00743103          
72   0.884217            0.00630599          
73   0.88076             0.00539656          
74   0.877507            0.00489459          
75   0.874406            0.00504031          
76   0.871221            0.00599151          
77   0.868096            0.00743678          
78   0.865386            0.00894596          
79   0.862853            0.0104909           
80   0.86039             0.0120768           
81   0.873058            0.0117813           
82   0.86886             0.00977509          
83   0.865781            0.00844912          
84   0.862358            0.00712207          
85   0.859113            0.00608366          
86   0.856214            0.00547437          
87   0.85312             0.00543323          
88   0.850395            0.00626534          
89   0.84757             0.00779106          
90   0.845529            0.00942271          
91   0.84339             0.0110499           
92   0.841237            0.012708            
93   0.855263            0.0111193           
94   0.850313            0.00915892          
95   0.846684            0.00813768          
96   0.843081            0.00715908          
97   0.839499            0.00629235          
98   0.836528            0.00583595          
99   0.833499            0.00577922          
100  0.830391            0.00615541          
101  0.827437            0.00690937          
102  0.825255            0.00787029          
103  0.823352            0.00894977          
104  0.82123             0.0101479           
105  0.818824            0.0115784           
106  0.817423            0.0138762           
107  0.813587            0.0109789           
108  0.811726            0.00936125          
109  0.808443            0.00802638          
110  0.805298            0.00689774          
111  0.802477            0.00601851          
112  0.799692            0.00548553          
113  0.796766            0.00545813          
114  0.793472            0.00599703          
115  0.791012            0.00672848          
116  0.788697            0.00758673          
117  0.786742            0.00856849          
118  0.783772            0.0100989           
119  0.775417            0.0213979           
120  0.773145            0.0192796           
121  0.770348            0.0171288           
122  0.768318            0.0153124           
123  0.765792            0.0139015           
124  0.763089            0.0125688           
125  0.760482            0.0114864           
126  0.757705            0.0106869           
127  0.755285            0.0103733           
128  0.753198            0.0103636           
129  0.751144            0.0106363           
130  0.748755            0.0115957           
131  0.73595             0.0251749           
132  0.735383            0.0201308           
133  0.734479            0.0158314           
134  0.733752            0.0132716           
135  0.733205            0.0118162           
136  0.731987            0.0114415           
137  0.730636            0.0120723           
138  0.729607            0.0131432           
139  0.728436            0.0145916           
140  0.727537            0.0165013           
141  0.726371            0.0200472           
142  0.738501            0.03501             
143  0.733795            0.0259585           
144  0.728931            0.0208179           
145  0.723901            0.0184586           
146  0.719985            0.0175427           
147  0.715597            0.0176173           
148  0.712926            0.0200971           
149  0.711178            0.0252007           
150  0.710141            0.0334481           
151  0.711003            0.0501391           
