THPREDICTIONS F2R100_D  Deuteron
0    9.42718             68.5794             
1    9.44206             68.7961             
2    9.45807             69.0164             
3    9.47516             69.2379             
4    9.49199             69.4591             
5    9.50932             69.6771             
6    9.52513             69.8892             
7    9.53753             70.0911             
8    9.55041             70.2803             
9    9.56903             70.4547             
10   9.59049             70.6076             
11   9.61209             70.7346             
12   9.63877             70.8326             
13   9.64615             70.8815             
14   9.62463             70.8604             
15   9.60235             70.7949             
16   9.59519             70.6774             
17   9.59264             70.4743             
18   9.57658             70.1763             
19   9.55375             69.8488             
20   9.48616             69.1088             
21   9.36169             67.8354             
22   9.2306              66.5258             
23   9.05632             64.8153             
24   8.8909              63.2195             
25   8.80419             62.4297             
26   8.76373             62.1238             
27   8.30261             57.6674             
28   7.62514             51.0984             
29   6.47101             39.8777             
30   4.70139             22.8978             
31   3.26346             10.4629             
32   2.62272             7.2714              
33   2.49258             7.00461             
34   2.41113             6.84383             
35   2.37746             6.68856             
36   2.33802             6.48679             
37   2.29626             6.25697             
38   2.24203             5.96459             
39   2.1716              5.59645             
40   2.1017              5.23657             
41   2.04427             4.93723             
42   1.99596             4.68377             
43   1.94822             4.43105             
44   1.90095             4.18109             
45   1.8541              3.93689             
46   1.80767             3.69983             
47   1.76105             3.47508             
48   1.71432             3.26666             
49   1.66727             3.07259             
50   1.61966             2.88894             
51   1.57198             2.71686             
52   1.52567             2.56375             
53   1.47791             2.40209             
54   1.43674             2.29866             
55   1.40282             2.26372             
56   1.36497             2.17754             
57   1.32395             2.03611             
58   1.27232             1.7727              
59   1.20027             1.30649             
60   1.11486             0.778213            
61   1.05692             0.498837            
62   1.02358             0.215488            
63   1.0049              0.0719537           
64   0.999612            0.057767            
65   0.997914            0.0537572           
66   0.996773            0.0498912           
67   0.995767            0.0465831           
68   0.994565            0.0437652           
69   0.993255            0.0413057           
70   0.992008            0.0390366           
71   0.990727            0.0368591           
72   0.989947            0.0349313           
73   0.989677            0.0333877           
74   0.989268            0.0321969           
75   0.988691            0.0311381           
76   0.987908            0.0302065           
77   0.986874            0.0294022           
78   0.985889            0.0286799           
79   0.985125            0.0280173           
80   0.984595            0.0274241           
81   0.984358            0.0267962           
82   0.984404            0.0261999           
83   0.984663            0.0257061           
84   0.985121            0.0253403           
85   0.985693            0.0250371           
86   0.986131            0.0247507           
87   0.986444            0.0244714           
88   0.986762            0.0242597           
89   0.987197            0.0241098           
90   0.98778             0.023978            
91   0.988505            0.0237413           
92   0.989348            0.0234422           
93   0.990266            0.0231529           
94   0.991273            0.0229246           
95   0.992457            0.0228382           
96   0.993459            0.0227778           
97   0.994208            0.0226504           
98   0.994556            0.0223389           
99   0.994271            0.0218793           
100  0.993519            0.0214173           
101  0.992051            0.0213397           
102  0.989967            0.021421            
103  0.987973            0.0214656           
104  0.986353            0.0214998           
105  0.98499             0.0215599           
106  0.98398             0.0215951           
107  0.983352            0.0215881           
108  0.983162            0.0217376           
109  0.983719            0.0220214           
110  0.984882            0.0221669           
111  0.986524            0.0223121           
112  0.988498            0.0224385           
113  0.990626            0.0226462           
114  0.99273             0.0230263           
115  0.99484             0.0237278           
116  0.996541            0.0239633           
117  0.997894            0.0237929           
118  0.998942            0.0235316           
119  0.999408            0.0231798           
120  0.999306            0.0229162           
121  0.999081            0.0230529           
122  0.999091            0.0233667           
123  0.99927             0.0245305           
124  0.999375            0.0263842           
125  0.999311            0.0275468           
126  0.99938             0.0282183           
127  0.998938            0.0286022           
128  0.997695            0.0286117           
129  0.995886            0.028838            
130  0.993895            0.0302455           
131  0.992073            0.0317711           
132  0.990362            0.0330654           
133  0.988704            0.0348763           
134  0.987622            0.0360465           
135  0.987004            0.0359602           
136  0.987036            0.0343673           
137  0.98705             0.0325783           
138  0.986837            0.0311245           
139  0.986522            0.0307988           
140  0.986082            0.0330355           
141  0.985154            0.036065            
142  0.983894            0.0386264           
143  0.9827              0.0433895           
144  0.981273            0.0460808           
145  0.979657            0.0452099           
146  0.977896            0.0423682           
147  0.973734            0.0375122           
148  0.972177            0.0396028           
149  0.973252            0.0394377           
150  0.976688            0.0441148           
151  0.982059            0.0640931           
152  0.988834            0.10131             
153  0.996631            0.14886             
154  1.00764             0.223803            
155  1.02069             0.317844            
156  1.02782             0.363971            
157  1.02942             0.365995            
158  1.0222              0.298732            
159  1.00828             0.192229            
160  0.997429            0.141681            
161  0.989332            0.138967            
162  0.985346            0.148209            
163  0.985024            0.155132            
164  0.982926            0.163338            
165  0.978523            0.169718            
166  0.972821            0.172606            
167  0.967076            0.173702            
168  0.95475             0.181359            
169  0.936576            0.192841            
170  0.913561            0.210417            
171  0.877776            0.229253            
172  0.846166            0.277018            
173  0.820566            0.333113            
174  0.802626            0.412563            
175  0.787085            0.593125            
176  0.786521            0.813206            
177  0.80637             1.03069             
178  0.847916            1.26784             
179  0.919672            1.60147             
180  1.02146             2.03891             
181  1.13863             2.52408             
182  1.27385             3.12784             
183  1.4309              3.92195             
184  1.62292             5.29105             
185  1.8475              6.83449             
186  2.12353             8.41208             
187  2.47588             10.0214             
188  2.93858             11.5397             
189  3.58003             13.3216             
190  4.52079             15.8393             
191  6.03662             19.7624             
192  9.63124             31.9923             
193  20.1012             136.665             
194  9.00444             45.9701             
195  16.9866             65.2241             
196  39.3086             147.411             
197  2320.3              22708.6             
198  -155.645            1832.39             
199  -53.7204            1226.86             
